o_zone_id,d_zone_id,volume
2400,3724,4.66
2401,3724,0.87
2401,3725,0.09
2402,3724,3.53
3723,3724,19.22
3724,2400,4.04
3724,2401,0.83
3724,2402,3.19
3724,3723,7.87
3726,2400,0.62
3726,2401,0.13
3726,2402,0.34
o_zone_id,d_zone_id,volume
2400,3724,4.66
2401,3724,0.87
2401,3725,0.09
2402,3724,3.53
3723,3724,19.22
3724,2400,4.04
3724,2401,0.83
3724,2402,3.19
3724,3723,7.87
3726,2400,0.62
3726,2401,0.13
3726,2402,0.34
o_zone_id,d_zone_id,volume
2400,3724,4.66
2401,3724,0.87
2401,3725,0.09
2402,3724,3.53
3723,3724,19.22
3724,2400,4.04
3724,2401,0.83
3724,2402,3.19
3724,3723,7.87
3726,2400,0.62
3726,2401,0.13
3726,2402,0.34
o_zone_id,d_zone_id,volume
2400,3724,4.66
2401,3724,0.87
2401,3725,0.09
2402,3724,3.53
3723,3724,19.22
3724,2400,4.04
3724,2401,0.83
3724,2402,3.19
3724,3723,7.87
3726,2400,0.62
3726,2401,0.13
3726,2402,0.34
o_zone_id,d_zone_id,volume
2400,3724,4.66
2401,3724,0.87
2401,3725,0.09
2402,3724,3.53
3723,3724,19.22
3724,2400,4.04
3724,2401,0.83
3724,2402,3.19
3724,3723,7.87
3726,2400,0.62
3726,2401,0.13
3726,2402,0.34
o_zone_id,d_zone_id,volume
2400,3724,4.66
2401,3724,0.87
2401,3725,0.09
2402,3724,3.53
3723,3724,19.22
3724,2400,4.04
3724,2401,0.83
3724,2402,3.19
3724,3723,7.87
3726,2400,0.62
3726,2401,0.13
3726,2402,0.34
