o_zone_id,d_zone_id,volume
2400,3724,2.62
2400,3726,0.4
2401,3725,0.63
2402,3724,2.29
3723,3724,5.56
3724,2400,2.73
3724,2402,2.29
3724,3723,5.56
3725,2401,0.63
3726,2400,0.29
o_zone_id,d_zone_id,volume
2400,3724,2.62
2400,3726,0.4
2401,3725,0.63
2402,3724,2.29
3723,3724,5.56
3724,2400,2.73
3724,2402,2.29
3724,3723,5.56
3725,2401,0.63
3726,2400,0.29
o_zone_id,d_zone_id,volume
2400,3724,2.62
2400,3726,0.4
2401,3725,0.63
2402,3724,2.29
3723,3724,5.56
3724,2400,2.73
3724,2402,2.29
3724,3723,5.56
3725,2401,0.63
3726,2400,0.29
