o_zone_id,d_zone_id,volume
2400,3724,4.44
2400,3726,0.68
2401,3724,0.91
2401,3726,0.14
2402,3724,3.54
2402,3726,0.34
3723,3724,9.8
3724,2400,5.12
3724,2402,3.88
3724,3723,9.64
3725,2401,1.05
o_zone_id,d_zone_id,volume
2400,3724,4.44
2400,3726,0.68
2401,3724,0.91
2401,3726,0.14
2402,3724,3.54
2402,3726,0.34
3723,3724,9.8
3724,2400,5.12
3724,2402,3.88
3724,3723,9.64
3725,2401,1.05
o_zone_id,d_zone_id,volume
2400,3724,4.44
2400,3726,0.68
2401,3724,0.91
2401,3726,0.14
2402,3724,3.54
2402,3726,0.34
3723,3724,9.8
3724,2400,5.12
3724,2402,3.88
3724,3723,9.64
3725,2401,1.05
o_zone_id,d_zone_id,volume
2400,3724,4.44
2400,3726,0.68
2401,3724,0.91
2401,3726,0.14
2402,3724,3.54
2402,3726,0.34
3723,3724,9.8
3724,2400,5.12
3724,2402,3.88
3724,3723,9.64
3725,2401,1.05
