o_zone_id,d_zone_id,volume
2400,2401,0.09
2400,2402,0.3
2400,3723,6.49
2400,3724,12.79
2400,3725,5.97
2400,3726,11.05
2401,2400,0.09
2401,2402,0.1
2401,3723,2.26
2401,3724,3.03
2401,3725,2.8
2401,3726,2.21
2402,2400,0.28
2402,2401,0.1
2402,3723,5.78
2402,3724,20.17
2402,3725,6.7
2402,3726,4.52
3723,2400,5.83
3723,2401,2.24
3723,2402,6.27
3723,3724,100.17
3723,3725,150.72
3723,3726,8.19
3724,2400,13.38
3724,2401,3.45
3724,2402,17.37
3724,3723,81.24
3724,3726,8.09
3725,2400,6.45
3725,2401,2.73
3725,2402,7.49
3725,3723,148.46
3725,3726,53.54
3726,2400,11.38
3726,2401,2.1
3726,2402,7.35
3726,3723,18.51
3726,3724,7.06
3726,3725,40.19
o_zone_id,d_zone_id,volume
2400,2401,0.09
2400,2402,0.3
2400,3723,6.49
2400,3724,12.79
2400,3725,5.97
2400,3726,11.05
2401,2400,0.09
2401,2402,0.1
2401,3723,2.26
2401,3724,3.03
2401,3725,2.8
2401,3726,2.21
2402,2400,0.28
2402,2401,0.1
2402,3723,5.78
2402,3724,20.17
2402,3725,6.7
2402,3726,4.52
3723,2400,5.83
3723,2401,2.24
3723,2402,6.27
3723,3724,100.17
3723,3725,150.72
3723,3726,8.19
3724,2400,13.38
3724,2401,3.45
3724,2402,17.37
3724,3723,81.24
3724,3726,8.09
3725,2400,6.45
3725,2401,2.73
3725,2402,7.49
3725,3723,148.46
3725,3726,53.54
3726,2400,11.38
3726,2401,2.1
3726,2402,7.35
3726,3723,18.51
3726,3724,7.06
3726,3725,40.19
o_zone_id,d_zone_id,volume
2400,2401,0.09
2400,2402,0.3
2400,3723,6.49
2400,3724,12.79
2400,3725,5.97
2400,3726,11.05
2401,2400,0.09
2401,2402,0.1
2401,3723,2.26
2401,3724,3.03
2401,3725,2.8
2401,3726,2.21
2402,2400,0.28
2402,2401,0.1
2402,3723,5.78
2402,3724,20.17
2402,3725,6.7
2402,3726,4.52
3723,2400,5.83
3723,2401,2.24
3723,2402,6.27
3723,3724,100.17
3723,3725,150.72
3723,3726,8.19
3724,2400,13.38
3724,2401,3.45
3724,2402,17.37
3724,3723,81.24
3724,3726,8.09
3725,2400,6.45
3725,2401,2.73
3725,2402,7.49
3725,3723,148.46
3725,3726,53.54
3726,2400,11.38
3726,2401,2.1
3726,2402,7.35
3726,3723,18.51
3726,3724,7.06
3726,3725,40.19
o_zone_id,d_zone_id,volume
2400,2401,0.09
2400,2402,0.3
2400,3723,6.49
2400,3724,12.79
2400,3725,5.97
2400,3726,11.05
2401,2400,0.09
2401,2402,0.1
2401,3723,2.26
2401,3724,3.03
2401,3725,2.8
2401,3726,2.21
2402,2400,0.28
2402,2401,0.1
2402,3723,5.78
2402,3724,20.17
2402,3725,6.7
2402,3726,4.52
3723,2400,5.83
3723,2401,2.24
3723,2402,6.27
3723,3724,100.17
3723,3725,150.72
3723,3726,8.19
3724,2400,13.38
3724,2401,3.45
3724,2402,17.37
3724,3723,81.24
3724,3726,8.09
3725,2400,6.45
3725,2401,2.73
3725,2402,7.49
3725,3723,148.46
3725,3726,53.54
3726,2400,11.38
3726,2401,2.1
3726,2402,7.35
3726,3723,18.51
3726,3724,7.06
3726,3725,40.19
o_zone_id,d_zone_id,volume
2400,2401,0.09
2400,2402,0.3
2400,3723,6.49
2400,3724,12.79
2400,3725,5.97
2400,3726,11.05
2401,2400,0.09
2401,2402,0.1
2401,3723,2.26
2401,3724,3.03
2401,3725,2.8
2401,3726,2.21
2402,2400,0.28
2402,2401,0.1
2402,3723,5.78
2402,3724,20.17
2402,3725,6.7
2402,3726,4.52
3723,2400,5.83
3723,2401,2.24
3723,2402,6.27
3723,3724,100.17
3723,3725,150.72
3723,3726,8.19
3724,2400,13.38
3724,2401,3.45
3724,2402,17.37
3724,3723,81.24
3724,3726,8.09
3725,2400,6.45
3725,2401,2.73
3725,2402,7.49
3725,3723,148.46
3725,3726,53.54
3726,2400,11.38
3726,2401,2.1
3726,2402,7.35
3726,3723,18.51
3726,3724,7.06
3726,3725,40.19
