o_zone_id,d_zone_id,volume
2400,2401,0.16
2400,2402,0.53
2400,3723,12.73
2400,3724,24.83
2400,3725,10.89
2400,3726,15.89
2401,2400,0.16
2401,2402,0.17
2401,3723,4.04
2401,3724,6.27
2401,3725,4.9
2401,3726,3.38
2402,2400,0.49
2402,2401,0.17
2402,3723,10.78
2402,3724,33.68
2402,3725,13.38
2402,3726,8.37
3723,2400,12.71
3723,2401,3.84
3723,2402,11.67
3723,3724,117.75
3723,3725,293.1
3723,3726,21.89
3724,2400,24.48
3724,2402,34.72
3724,3723,121.78
3724,3726,8.38
3725,2400,11.1
3725,2401,11.79
3725,2402,13.33
3725,3723,293.71
3725,3726,61.71
3726,2400,16.41
3726,2401,2.97
3726,2402,7.67
3726,3723,23.04
3726,3724,8.78
3726,3725,54.69
o_zone_id,d_zone_id,volume
2400,2401,0.16
2400,2402,0.53
2400,3723,12.73
2400,3724,24.83
2400,3725,10.89
2400,3726,15.89
2401,2400,0.16
2401,2402,0.17
2401,3723,4.04
2401,3724,6.27
2401,3725,4.9
2401,3726,3.38
2402,2400,0.49
2402,2401,0.17
2402,3723,10.78
2402,3724,33.68
2402,3725,13.38
2402,3726,8.37
3723,2400,12.71
3723,2401,3.84
3723,2402,11.67
3723,3724,117.75
3723,3725,293.1
3723,3726,21.89
3724,2400,24.48
3724,2402,34.72
3724,3723,121.78
3724,3726,8.38
3725,2400,11.1
3725,2401,11.79
3725,2402,13.33
3725,3723,293.71
3725,3726,61.71
3726,2400,16.41
3726,2401,2.97
3726,2402,7.67
3726,3723,23.04
3726,3724,8.78
3726,3725,54.69
o_zone_id,d_zone_id,volume
2400,2401,0.16
2400,2402,0.53
2400,3723,12.73
2400,3724,24.83
2400,3725,10.89
2400,3726,15.89
2401,2400,0.16
2401,2402,0.17
2401,3723,4.04
2401,3724,6.27
2401,3725,4.9
2401,3726,3.38
2402,2400,0.49
2402,2401,0.17
2402,3723,10.78
2402,3724,33.68
2402,3725,13.38
2402,3726,8.37
3723,2400,12.71
3723,2401,3.84
3723,2402,11.67
3723,3724,117.75
3723,3725,293.1
3723,3726,21.89
3724,2400,24.48
3724,2402,34.72
3724,3723,121.78
3724,3726,8.38
3725,2400,11.1
3725,2401,11.79
3725,2402,13.33
3725,3723,293.71
3725,3726,61.71
3726,2400,16.41
3726,2401,2.97
3726,2402,7.67
3726,3723,23.04
3726,3724,8.78
3726,3725,54.69
