o_zone_id,d_zone_id,volume
2400,2400,131.11
2400,2401,1.14
2400,2402,7.76
2400,3723,20.89
2400,3724,53.04
2400,3725,23.74
2400,3726,54.53
2401,2400,1.11
2401,2401,5.31
2401,2402,2.46
2401,3723,4.17
2401,3724,6.25
2401,3725,6.17
2401,3726,5.46
2402,2400,7.86
2402,2401,2.59
2402,2402,89.76
2402,3723,13.15
2402,3724,63.49
2402,3725,23.87
2402,3726,37.57
3723,2400,21.69
3723,2401,4.23
3723,2402,12.15
3723,3724,113.9
3723,3725,164.21
3723,3726,50.93
3724,2400,58.16
3724,2401,6.57
3724,2402,72.89
3724,3723,186.27
3724,3726,33.5
3725,2400,20.99
3725,2401,6.68
3725,2402,21.08
3725,3723,165.77
3725,3726,94.17
3726,2400,58.26
3726,2401,5.75
3726,2402,34.31
3726,3723,49.81
3726,3724,48.16
3726,3725,141.74
o_zone_id,d_zone_id,volume
2400,2400,131.11
2400,2401,1.14
2400,2402,7.76
2400,3723,20.89
2400,3724,53.04
2400,3725,23.74
2400,3726,54.53
2401,2400,1.11
2401,2401,5.31
2401,2402,2.46
2401,3723,4.17
2401,3724,6.25
2401,3725,6.17
2401,3726,5.46
2402,2400,7.86
2402,2401,2.59
2402,2402,89.76
2402,3723,13.15
2402,3724,63.49
2402,3725,23.87
2402,3726,37.57
3723,2400,21.69
3723,2401,4.23
3723,2402,12.15
3723,3724,113.9
3723,3725,164.21
3723,3726,50.93
3724,2400,58.16
3724,2401,6.57
3724,2402,72.89
3724,3723,186.27
3724,3726,33.5
3725,2400,20.99
3725,2401,6.68
3725,2402,21.08
3725,3723,165.77
3725,3726,94.17
3726,2400,58.26
3726,2401,5.75
3726,2402,34.31
3726,3723,49.81
3726,3724,48.16
3726,3725,141.74
o_zone_id,d_zone_id,volume
2400,2400,131.11
2400,2401,1.14
2400,2402,7.76
2400,3723,20.89
2400,3724,53.04
2400,3725,23.74
2400,3726,54.53
2401,2400,1.11
2401,2401,5.31
2401,2402,2.46
2401,3723,4.17
2401,3724,6.25
2401,3725,6.17
2401,3726,5.46
2402,2400,7.86
2402,2401,2.59
2402,2402,89.76
2402,3723,13.15
2402,3724,63.49
2402,3725,23.87
2402,3726,37.57
3723,2400,21.69
3723,2401,4.23
3723,2402,12.15
3723,3724,113.9
3723,3725,164.21
3723,3726,50.93
3724,2400,58.16
3724,2401,6.57
3724,2402,72.89
3724,3723,186.27
3724,3726,33.5
3725,2400,20.99
3725,2401,6.68
3725,2402,21.08
3725,3723,165.77
3725,3726,94.17
3726,2400,58.26
3726,2401,5.75
3726,2402,34.31
3726,3723,49.81
3726,3724,48.16
3726,3725,141.74
o_zone_id,d_zone_id,volume
2400,2400,131.11
2400,2401,1.14
2400,2402,7.76
2400,3723,20.89
2400,3724,53.04
2400,3725,23.74
2400,3726,54.53
2401,2400,1.11
2401,2401,5.31
2401,2402,2.46
2401,3723,4.17
2401,3724,6.25
2401,3725,6.17
2401,3726,5.46
2402,2400,7.86
2402,2401,2.59
2402,2402,89.76
2402,3723,13.15
2402,3724,63.49
2402,3725,23.87
2402,3726,37.57
3723,2400,21.69
3723,2401,4.23
3723,2402,12.15
3723,3724,113.9
3723,3725,164.21
3723,3726,50.93
3724,2400,58.16
3724,2401,6.57
3724,2402,72.89
3724,3723,186.27
3724,3726,33.5
3725,2400,20.99
3725,2401,6.68
3725,2402,21.08
3725,3723,165.77
3725,3726,94.17
3726,2400,58.26
3726,2401,5.75
3726,2402,34.31
3726,3723,49.81
3726,3724,48.16
3726,3725,141.74
