o_zone_id,d_zone_id,volume
2400,2400,19.89
2400,2401,0.15
2400,2402,1.43
2400,3723,16.61
2400,3724,11.78
2400,3725,3.21
2400,3726,11.1
2401,2400,0.17
2401,2401,0.49
2401,2402,0.35
2401,3723,1.85
2401,3724,1.13
2401,3725,0.7
2401,3726,0.81
2402,2400,1.32
2402,2401,0.32
2402,2402,12.75
2402,3723,9.36
2402,3724,14.56
2402,3725,2.33
2402,3726,6.3
3723,2400,1.9
3723,2401,0.21
3723,2402,1.26
3723,3724,18.69
3723,3725,12.2
3723,3726,1.5
3724,2400,7.44
3724,2401,0.6
3724,2402,8.88
3724,3723,31.64
3724,3726,8.76
3725,2400,5.78
3725,2401,0.88
3725,2402,5.3
3725,3723,38.78
3725,3726,42.62
3726,2400,9.42
3726,2401,0.68
3726,2402,6.88
3726,3723,10.33
3726,3724,2.8
3726,3725,9.82
o_zone_id,d_zone_id,volume
2400,2400,19.89
2400,2401,0.15
2400,2402,1.43
2400,3723,16.61
2400,3724,11.78
2400,3725,3.21
2400,3726,11.1
2401,2400,0.17
2401,2401,0.49
2401,2402,0.35
2401,3723,1.85
2401,3724,1.13
2401,3725,0.7
2401,3726,0.81
2402,2400,1.32
2402,2401,0.32
2402,2402,12.75
2402,3723,9.36
2402,3724,14.56
2402,3725,2.33
2402,3726,6.3
3723,2400,1.9
3723,2401,0.21
3723,2402,1.26
3723,3724,18.69
3723,3725,12.2
3723,3726,1.5
3724,2400,7.44
3724,2401,0.6
3724,2402,8.88
3724,3723,31.64
3724,3726,8.76
3725,2400,5.78
3725,2401,0.88
3725,2402,5.3
3725,3723,38.78
3725,3726,42.62
3726,2400,9.42
3726,2401,0.68
3726,2402,6.88
3726,3723,10.33
3726,3724,2.8
3726,3725,9.82
o_zone_id,d_zone_id,volume
2400,2400,19.89
2400,2401,0.15
2400,2402,1.43
2400,3723,16.61
2400,3724,11.78
2400,3725,3.21
2400,3726,11.1
2401,2400,0.17
2401,2401,0.49
2401,2402,0.35
2401,3723,1.85
2401,3724,1.13
2401,3725,0.7
2401,3726,0.81
2402,2400,1.32
2402,2401,0.32
2402,2402,12.75
2402,3723,9.36
2402,3724,14.56
2402,3725,2.33
2402,3726,6.3
3723,2400,1.9
3723,2401,0.21
3723,2402,1.26
3723,3724,18.69
3723,3725,12.2
3723,3726,1.5
3724,2400,7.44
3724,2401,0.6
3724,2402,8.88
3724,3723,31.64
3724,3726,8.76
3725,2400,5.78
3725,2401,0.88
3725,2402,5.3
3725,3723,38.78
3725,3726,42.62
3726,2400,9.42
3726,2401,0.68
3726,2402,6.88
3726,3723,10.33
3726,3724,2.8
3726,3725,9.82
o_zone_id,d_zone_id,volume
2400,2400,19.89
2400,2401,0.15
2400,2402,1.43
2400,3723,16.61
2400,3724,11.78
2400,3725,3.21
2400,3726,11.1
2401,2400,0.17
2401,2401,0.49
2401,2402,0.35
2401,3723,1.85
2401,3724,1.13
2401,3725,0.7
2401,3726,0.81
2402,2400,1.32
2402,2401,0.32
2402,2402,12.75
2402,3723,9.36
2402,3724,14.56
2402,3725,2.33
2402,3726,6.3
3723,2400,1.9
3723,2401,0.21
3723,2402,1.26
3723,3724,18.69
3723,3725,12.2
3723,3726,1.5
3724,2400,7.44
3724,2401,0.6
3724,2402,8.88
3724,3723,31.64
3724,3726,8.76
3725,2400,5.78
3725,2401,0.88
3725,2402,5.3
3725,3723,38.78
3725,3726,42.62
3726,2400,9.42
3726,2401,0.68
3726,2402,6.88
3726,3723,10.33
3726,3724,2.8
3726,3725,9.82
o_zone_id,d_zone_id,volume
2400,2400,19.89
2400,2401,0.15
2400,2402,1.43
2400,3723,16.61
2400,3724,11.78
2400,3725,3.21
2400,3726,11.1
2401,2400,0.17
2401,2401,0.49
2401,2402,0.35
2401,3723,1.85
2401,3724,1.13
2401,3725,0.7
2401,3726,0.81
2402,2400,1.32
2402,2401,0.32
2402,2402,12.75
2402,3723,9.36
2402,3724,14.56
2402,3725,2.33
2402,3726,6.3
3723,2400,1.9
3723,2401,0.21
3723,2402,1.26
3723,3724,18.69
3723,3725,12.2
3723,3726,1.5
3724,2400,7.44
3724,2401,0.6
3724,2402,8.88
3724,3723,31.64
3724,3726,8.76
3725,2400,5.78
3725,2401,0.88
3725,2402,5.3
3725,3723,38.78
3725,3726,42.62
3726,2400,9.42
3726,2401,0.68
3726,2402,6.88
3726,3723,10.33
3726,3724,2.8
3726,3725,9.82
