o_zone_id,d_zone_id,volume
2400,2400,45.08
2400,2401,0.42
2400,2402,3.08
2400,3723,8.15
2400,3724,21.25
2400,3725,11.91
2400,3726,24.56
2401,2400,0.42
2401,2401,1.62
2401,2402,0.91
2401,3723,1.16
2401,3725,5.2
2401,3726,1.6
2402,2400,3.19
2402,2401,0.89
2402,2402,29.14
2402,3723,4.81
2402,3724,27.34
2402,3725,11.1
2402,3726,13.84
3723,2400,12.11
3723,2401,1.67
3723,2402,6.95
3723,3724,39.97
3723,3725,133.39
3723,3726,20.92
3724,2400,27.43
3724,2402,35.65
3724,3723,35.63
3724,3726,17.19
3725,2400,9.61
3725,2401,5.92
3725,2402,9.23
3725,3723,103.63
3725,3726,20.93
3726,2400,30.81
3726,2401,1.51
3726,2402,13.3
3726,3723,15.33
3726,3724,15.56
3726,3725,23.52
o_zone_id,d_zone_id,volume
2400,2400,45.08
2400,2401,0.42
2400,2402,3.08
2400,3723,8.15
2400,3724,21.25
2400,3725,11.91
2400,3726,24.56
2401,2400,0.42
2401,2401,1.62
2401,2402,0.91
2401,3723,1.16
2401,3725,5.2
2401,3726,1.6
2402,2400,3.19
2402,2401,0.89
2402,2402,29.14
2402,3723,4.81
2402,3724,27.34
2402,3725,11.1
2402,3726,13.84
3723,2400,12.11
3723,2401,1.67
3723,2402,6.95
3723,3724,39.97
3723,3725,133.39
3723,3726,20.92
3724,2400,27.43
3724,2402,35.65
3724,3723,35.63
3724,3726,17.19
3725,2400,9.61
3725,2401,5.92
3725,2402,9.23
3725,3723,103.63
3725,3726,20.93
3726,2400,30.81
3726,2401,1.51
3726,2402,13.3
3726,3723,15.33
3726,3724,15.56
3726,3725,23.52
o_zone_id,d_zone_id,volume
2400,2400,45.08
2400,2401,0.42
2400,2402,3.08
2400,3723,8.15
2400,3724,21.25
2400,3725,11.91
2400,3726,24.56
2401,2400,0.42
2401,2401,1.62
2401,2402,0.91
2401,3723,1.16
2401,3725,5.2
2401,3726,1.6
2402,2400,3.19
2402,2401,0.89
2402,2402,29.14
2402,3723,4.81
2402,3724,27.34
2402,3725,11.1
2402,3726,13.84
3723,2400,12.11
3723,2401,1.67
3723,2402,6.95
3723,3724,39.97
3723,3725,133.39
3723,3726,20.92
3724,2400,27.43
3724,2402,35.65
3724,3723,35.63
3724,3726,17.19
3725,2400,9.61
3725,2401,5.92
3725,2402,9.23
3725,3723,103.63
3725,3726,20.93
3726,2400,30.81
3726,2401,1.51
3726,2402,13.3
3726,3723,15.33
3726,3724,15.56
3726,3725,23.52
