link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,vehicle_volume,person_volume,ref_volume,ref_diff,restricted_turn_nodes,auto_turn_volume,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_lane,mu_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf_mph,v_congestion_cutoff_mph,vf_kmph,v_congestion_cutoff_kmph,QVDF_cp,QVDF_s,QVDF_v_mph,QVDF_v_kmph,vt2_mph,vt2_kmph,VMT,VKMT,VHT,PMT,PKMT,PHT,PDT_vf,PDT_vc,geometry,vehicle_vol_apv,vehicle_vol_com,vehicle_vol_hov2,vehicle_vol_hov3,vehicle_vol_sov,vehicle_vol_trk,MEU_vol_apv,MEU_vol_com,MEU_vol_hov2,MEU_vol_hov3,MEU_vol_sov,MEU_vol_trk,mode_link_cap_apv,mode_link_cap_com,mode_link_cap_hov2,mode_link_cap_hov3,mode_link_cap_sov,mode_link_cap_trk,mode_DOC_apv,mode_DOC_com,mode_DOC_hov2,mode_DOC_hov3,mode_DOC_sov,mode_DOC_trk,mode_TT_apv,mode_TT_com,mode_TT_hov2,mode_TT_hov3,mode_TT_sov,mode_TT_trk,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
1,1,qvdf,2400,38489,7.000000,2.719785,1.690357,2.897755,-1,0,,network_wide,-1,0,-1,-1,50000,c,50000,1600_1700,3541.800,4962.888,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,2.897,56.321,35.004,1.000,0.167,0.167,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,526.394,3150.000,1.002,1.181,0.001,0.000,35.000,47.868,56.315,77.019,0.136,4.000,35.004,56.321,47.868,77.019,5986.907,9632.933,171.036,8389.054,8389.054,13497.987,-0.025,64.407,"LINESTRING (-77.593115 38.916173, -77.607979 38.937693)",20.480,264.440,644.400,305.760,2163.760,142.960,20.480,264.440,644.400,305.760,2163.760,285.920,22050.000,0.000,0.000,0.000,0.000,0.000,0.167109,0.000000,0.000000,0.000000,0.000000,0.000000,2.897,0.000,0.000,0.000,0.000,0.000,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,59.768,70.129,73.577,63.222,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,,3541.800,3541.800,0.000,56.321,56.321,0.000,0.167,0.167,0.000,0.001,0.001,0.000,period-based
2,2,qvdf,2401,38112,7.000000,1.110445,0.690146,1.035219,-1,0,,network_wide,-1,0,-1,-1,60000,c,60000,1600_1700,544.400,749.100,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.035,64.360,40.000,1.000,0.026,0.026,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,80.543,3150.000,1.002,1.181,0.000,0.000,40.000,54.706,64.360,88.022,0.136,4.000,40.000,64.360,54.706,88.022,375.715,604.526,9.393,516.988,516.988,831.834,-0.000,3.474,"LINESTRING (-77.634111 38.951535, -77.622328 38.955522)",4.200,76.760,102.480,39.880,301.680,19.400,4.200,76.760,102.480,39.880,301.680,38.800,22050.000,0.000,0.000,0.000,0.000,0.000,0.025569,0.000000,0.000000,0.000000,0.000000,0.000000,1.035,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,68.304,80.135,84.078,72.247,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,544.400,544.400,0.000,64.360,64.360,0.000,0.026,0.026,0.000,0.000,0.000,0.000,period-based
3,3,qvdf,2402,38491,7.000000,1.449130,0.900640,1.543955,-1,0,,network_wide,-1,0,-1,-1,50000,c,50000,1600_1700,2322.920,3262.196,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.544,56.316,35.001,1.000,0.109,0.109,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,343.177,3150.000,1.002,1.181,0.000,0.000,35.000,47.868,56.315,77.019,0.136,4.000,35.001,56.316,47.868,77.019,2092.115,3366.213,59.774,2938.065,2938.065,4727.347,-0.002,22.564,"LINESTRING (-77.600503 38.950677, -77.584346 38.947135)",14.160,172.520,435.680,198.040,1423.200,79.320,14.160,172.520,435.680,198.040,1423.200,158.640,22050.000,0.000,0.000,0.000,0.000,0.000,0.108945,0.000000,0.000000,0.000000,0.000000,0.000000,1.544,0.000,0.000,0.000,0.000,0.000,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,59.766,70.120,73.570,63.217,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,,2322.920,2322.920,0.000,56.316,56.316,0.000,0.109,0.109,0.000,0.000,0.000,0.000,period-based
4,4,qvdf,2402,55001,7.000000,1.256589,0.780975,1.338814,-1,0,,network_wide,-1,0,-1,-1,50000,c,50000,1600_1700,925.760,1256.016,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.339,56.315,35.000,1.000,0.044,0.044,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,138.691,3150.000,1.002,1.181,0.000,0.000,35.000,47.868,56.315,77.019,0.136,4.000,35.000,56.315,47.868,77.019,722.995,1163.300,20.657,980.917,980.917,1578.296,-0.000,7.534,"LINESTRING (-77.600503 38.950677, -77.611957 38.944155)",1.360,99.320,158.440,68.400,553.160,45.080,1.360,99.320,158.440,68.400,553.160,90.160,22050.000,0.000,0.000,0.000,0.000,0.000,0.044029,0.000000,0.000000,0.000000,0.000000,0.000000,1.339,0.000,0.000,0.000,0.000,0.000,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,59.766,70.118,73.569,63.216,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,,925.760,925.760,0.000,56.315,56.315,0.000,0.044,0.044,0.000,0.000,0.000,0.000,period-based
5,5,qvdf,3723,38488,1.000000,0.547176,0.340072,0.392391,-1,0,,network_wide,-1,0,-1,-1,60300,a,60300,1600_1700,13415.960,16802.221,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,0.365,0.227,0.004,9.990,9.990,900.000,900.000,0.000,0.000,0.000,1.000,1.000,14179.560,900.000,1.002,1.181,15.185,1.083,52.000,71.118,83.668,114.429,0.136,4.000,0.013,0.020,0.010,0.016,4562.390,7340.886,20123.939,5713.962,5713.962,9193.766,25093.447,25122.986,"LINESTRING (-77.625038 38.931782, -77.624237 38.936613)",39.200,1845.320,1468.440,757.720,8541.680,763.600,39.200,1845.320,1468.440,757.720,8541.680,1527.200,900.000,0.000,0.000,0.000,0.000,0.000,9.990000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,,13415.960,13415.960,0.000,0.365,0.365,0.000,9.990,9.990,0.000,15.185,15.185,0.000,period-based
6,6,qvdf,3724,38491,1.000000,0.820763,0.510108,0.765162,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,1600_1700,11624.200,14530.597,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,0.547,0.340,0.009,9.990,9.990,800.000,800.000,0.000,0.000,0.000,1.000,1.000,12075.800,795.249,1.002,1.181,15.185,1.083,40.000,54.706,64.360,88.022,0.136,4.000,0.010,0.016,0.008,0.012,5929.595,9540.718,17436.301,7412.170,7412.170,11926.182,21610.590,21660.404,"LINESTRING (-77.580048 38.953013, -77.584346 38.947135)",74.560,1094.960,1429.560,572.840,8000.680,451.600,74.560,1094.960,1429.560,572.840,8000.680,903.200,800.000,0.000,0.000,0.000,0.000,0.000,9.990000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,11624.200,11624.200,0.000,0.547,0.547,0.000,9.990,9.990,0.000,15.185,15.185,0.000,period-based
7,7,qvdf,3725,38112,1.000000,1.512780,0.940199,1.084845,-1,0,,network_wide,-1,0,-1,-1,60300,a,60300,1600_1700,10662.680,13153.561,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.009,0.627,0.012,9.990,9.990,900.000,900.000,0.000,0.000,0.000,1.000,1.000,11308.880,744.744,1.002,1.181,15.185,1.083,52.000,71.118,83.668,114.429,0.136,4.000,0.013,0.020,0.010,0.016,10025.037,16130.285,15994.020,12366.960,12366.960,19898.439,19492.516,19556.447,"LINESTRING (-77.622657 38.969132, -77.622328 38.955522)",4.200,1626.360,1234.760,501.440,6649.720,646.200,4.200,1626.360,1234.760,501.440,6649.720,1292.400,900.000,0.000,0.000,0.000,0.000,0.000,9.990000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,,10662.680,10662.680,0.000,1.009,1.009,0.000,9.990,9.990,0.000,15.185,15.185,0.000,period-based
8,8,qvdf,3726,38490,1.000000,1.609340,1.000211,1.500317,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,1600_1700,9471.360,12378.280,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.073,0.667,0.017,9.990,9.990,800.000,800.000,0.000,0.000,0.000,1.000,1.000,9823.160,646.902,1.002,1.181,15.185,1.083,40.000,54.706,64.360,88.022,0.136,4.000,0.010,0.016,0.008,0.012,9473.361,15242.638,14207.041,12380.896,12380.896,19920.861,18257.898,18341.104,"LINESTRING (-77.590441 38.930341, -77.606145 38.937861)",0.000,662.120,1352.120,621.920,6483.400,351.800,0.000,662.120,1352.120,621.920,6483.400,703.600,800.000,0.000,0.000,0.000,0.000,0.000,9.990000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,9471.360,9471.360,0.000,1.073,1.073,0.000,9.990,9.990,0.000,15.185,15.185,0.000,period-based
9,9,qvdf,38112,2401,7.000000,1.110445,0.690146,1.035219,-1,0,,network_wide,-1,0,-1,-1,60000,c,60000,1600_1700,655.040,882.900,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.035,64.360,40.000,1.000,0.031,0.031,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,96.349,3150.000,1.002,1.181,0.000,0.000,40.000,54.706,64.360,88.022,0.136,4.000,40.000,64.360,54.706,88.022,452.073,727.386,11.302,609.330,609.330,980.412,-0.000,4.095,"LINESTRING (-77.622328 38.955522, -77.634111 38.951535)",4.200,75.760,107.840,47.000,400.840,19.400,4.200,75.760,107.840,47.000,400.840,38.800,22050.000,0.000,0.000,0.000,0.000,0.000,0.030587,0.000000,0.000000,0.000000,0.000000,0.000000,1.035,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,68.304,80.135,84.078,72.247,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,655.040,655.040,0.000,64.360,64.360,0.000,0.031,0.031,0.000,0.000,0.000,0.000,period-based
10,10,qvdf,38112,3725,1.000000,1.512780,0.940199,1.084845,-1,0,,network_wide,-1,0,-1,-1,60300,a,60300,1600_1700,13059.400,16170.221,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.009,0.627,0.012,9.990,9.990,900.000,900.000,0.000,0.000,0.000,1.000,1.000,13726.640,900.000,1.002,1.181,15.185,1.083,52.000,71.118,83.668,114.429,0.136,4.000,0.013,0.020,0.010,0.016,12278.431,19755.995,19589.102,15203.220,15203.220,24461.981,23962.961,24041.557,"LINESTRING (-77.622328 38.955522, -77.622657 38.969132)",0.000,1506.600,1438.920,668.760,8777.880,667.240,0.000,1506.600,1438.920,668.760,8777.880,1334.480,900.000,0.000,0.000,0.000,0.000,0.000,9.990000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,,13059.400,13059.400,0.000,1.009,1.009,0.000,9.990,9.990,0.000,15.185,15.185,0.000,period-based
