link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,vehicle_volume,person_volume,ref_volume,ref_diff,restricted_turn_nodes,auto_turn_volume,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_lane,mu_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf_mph,v_congestion_cutoff_mph,vf_kmph,v_congestion_cutoff_kmph,QVDF_cp,QVDF_s,QVDF_v_mph,QVDF_v_kmph,vt2_mph,vt2_kmph,VMT,VKMT,VHT,PMT,PKMT,PHT,PDT_vf,PDT_vc,geometry,vehicle_vol_apv,vehicle_vol_com,vehicle_vol_hov2,vehicle_vol_hov3,vehicle_vol_sov,vehicle_vol_trk,MEU_vol_apv,MEU_vol_com,MEU_vol_hov2,MEU_vol_hov3,MEU_vol_sov,MEU_vol_trk,mode_link_cap_apv,mode_link_cap_com,mode_link_cap_hov2,mode_link_cap_hov3,mode_link_cap_sov,mode_link_cap_trk,mode_DOC_apv,mode_DOC_com,mode_DOC_hov2,mode_DOC_hov3,mode_DOC_sov,mode_DOC_trk,mode_TT_apv,mode_TT_com,mode_TT_hov2,mode_TT_hov3,mode_TT_sov,mode_TT_trk,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
1,1,qvdf,2400,38489,7.000000,2.719785,1.690357,2.897755,-1,0,,network_wide,-1,0,-1,-1,50000,c,50000,0800_0900,4378.940,5294.866,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,2.897,56.332,35.011,1.000,0.207,0.207,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,651.683,3150.000,1.004,1.202,0.002,0.000,35.000,47.868,56.315,77.019,0.200,4.000,35.011,56.332,47.868,77.019,7401.972,11909.773,211.420,8950.215,8950.215,14400.896,-0.079,68.664,"LINESTRING (-77.593115 38.916173, -77.607979 38.937693)",27.960,220.140,345.650,221.400,3380.950,182.840,27.960,220.140,345.650,221.400,3380.950,365.680,22050.000,0.000,0.000,0.000,0.000,0.000,0.206883,0.000000,0.000000,0.000000,0.000000,0.000000,2.897,0.000,0.000,0.000,0.000,0.000,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,59.772,70.143,73.588,63.229,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,,4378.940,4378.940,0.000,56.332,56.332,0.000,0.207,0.207,0.000,0.002,0.002,0.000,period-based
2,2,qvdf,2401,38112,7.000000,1.110445,0.690146,1.035219,-1,0,,network_wide,-1,0,-1,-1,60000,c,60000,0800_0900,483.200,594.231,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.035,64.360,40.000,1.000,0.023,0.023,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,72.600,3150.000,1.004,1.202,0.000,0.000,40.000,54.706,64.360,88.022,0.200,4.000,40.000,64.360,54.706,88.022,333.478,536.567,8.337,410.106,410.106,659.861,-0.000,2.756,"LINESTRING (-77.634111 38.951535, -77.622328 38.955522)",5.760,62.940,44.950,25.050,319.500,25.000,5.760,62.940,44.950,25.050,319.500,50.000,22050.000,0.000,0.000,0.000,0.000,0.000,0.023048,0.000000,0.000000,0.000000,0.000000,0.000000,1.035,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,68.304,80.135,84.078,72.247,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,483.200,483.200,0.000,64.360,64.360,0.000,0.023,0.023,0.000,0.000,0.000,0.000,period-based
3,3,qvdf,2402,38491,7.000000,1.449130,0.900640,1.543955,-1,0,,network_wide,-1,0,-1,-1,50000,c,50000,0800_0900,2711.670,3235.328,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.544,56.318,35.002,1.000,0.128,0.128,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,402.913,3150.000,1.004,1.202,0.000,0.000,35.000,47.868,56.315,77.019,0.200,4.000,35.002,56.318,47.868,77.019,2442.239,3929.563,69.775,2913.867,2913.867,4688.412,-0.004,22.376,"LINESTRING (-77.600503 38.950677, -77.584346 38.947135)",21.180,149.820,233.700,110.900,2087.350,108.720,21.180,149.820,233.700,110.900,2087.350,217.440,22050.000,0.000,0.000,0.000,0.000,0.000,0.127909,0.000000,0.000000,0.000000,0.000000,0.000000,1.544,0.000,0.000,0.000,0.000,0.000,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,59.767,70.122,73.571,63.218,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,,2711.670,2711.670,0.000,56.318,56.318,0.000,0.128,0.128,0.000,0.000,0.000,0.000,period-based
4,4,qvdf,2402,55001,7.000000,1.256589,0.780975,1.338814,-1,0,,network_wide,-1,0,-1,-1,50000,c,50000,0800_0900,635.100,842.875,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.339,56.315,35.000,1.000,0.031,0.031,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,98.317,3150.000,1.004,1.202,0.000,0.000,35.000,47.868,56.315,77.019,0.200,4.000,35.000,56.315,47.868,77.019,495.997,798.060,14.171,658.264,658.264,1059.147,-0.000,5.056,"LINESTRING (-77.600503 38.950677, -77.611957 38.944155)",0.000,75.480,57.650,60.050,388.800,53.120,0.000,75.480,57.650,60.050,388.800,106.240,22050.000,0.000,0.000,0.000,0.000,0.000,0.031212,0.000000,0.000000,0.000000,0.000000,0.000000,1.339,0.000,0.000,0.000,0.000,0.000,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,59.766,70.118,73.569,63.216,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,,635.100,635.100,0.000,56.315,56.315,0.000,0.031,0.031,0.000,0.000,0.000,0.000,period-based
5,5,qvdf,3723,38488,1.000000,0.547176,0.340072,0.392391,-1,0,,network_wide,-1,0,-1,-1,60300,a,60300,0800_0900,14217.220,15379.062,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,0.365,0.227,0.004,9.990,9.990,900.000,900.000,0.000,0.000,0.000,1.000,1.000,15517.700,900.000,1.004,1.202,15.962,1.083,52.000,71.118,83.668,114.429,0.200,4.000,0.010,0.017,0.005,0.009,4834.876,7779.315,21325.830,5229.986,5229.986,8415.048,22968.018,22995.055,"LINESTRING (-77.625038 38.931782, -77.624237 38.936613)",115.320,1640.520,645.650,178.800,10336.450,1300.480,115.320,1640.520,645.650,178.800,10336.450,2600.960,900.000,0.000,0.000,0.000,0.000,0.000,9.990000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,,14217.220,14217.220,0.000,0.365,0.365,0.000,9.990,9.990,0.000,15.962,15.962,0.000,period-based
6,6,qvdf,3724,38491,1.000000,0.820763,0.510108,0.765162,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,0800_0900,5007.100,6225.598,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,0.547,0.340,0.009,6.843,6.843,800.000,800.000,0.000,0.000,0.000,1.000,1.000,5474.340,540.393,1.004,1.202,10.130,1.083,40.000,54.706,64.360,88.022,0.200,4.000,0.047,0.076,0.026,0.042,2554.161,4109.644,7510.650,3175.726,3175.726,5109.743,9259.004,9280.347,"LINESTRING (-77.580048 38.953013, -77.584346 38.947135)",95.580,741.180,444.650,286.600,2971.850,467.240,95.580,741.180,444.650,286.600,2971.850,934.480,800.000,0.000,0.000,0.000,0.000,0.000,6.842925,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,5007.100,5007.100,0.000,0.547,0.547,0.000,6.843,6.843,0.000,10.130,10.130,0.000,period-based
7,7,qvdf,3725,38112,1.000000,1.512780,0.940199,1.084845,-1,0,,network_wide,-1,0,-1,-1,60300,a,60300,0800_0900,11940.820,13937.670,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.009,0.627,0.012,9.990,9.990,900.000,900.000,0.000,0.000,0.000,1.000,1.000,12956.020,811.676,1.004,1.202,15.962,1.083,52.000,71.118,83.668,114.429,0.200,4.000,0.010,0.017,0.005,0.009,11226.743,18063.830,17911.230,13104.178,13104.178,21084.622,20654.502,20722.244,"LINESTRING (-77.622657 38.969132, -77.622328 38.955522)",0.000,1312.020,829.850,466.800,8316.950,1015.200,0.000,1312.020,829.850,466.800,8316.950,2030.400,900.000,0.000,0.000,0.000,0.000,0.000,9.990000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,,11940.820,11940.820,0.000,1.009,1.009,0.000,9.990,9.990,0.000,15.962,15.962,0.000,period-based
8,8,qvdf,3726,38490,1.000000,1.609340,1.000211,1.500317,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,0800_0900,4584.670,5539.419,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.073,0.667,0.017,6.311,6.311,800.000,800.000,0.000,0.000,0.000,1.000,1.000,5048.910,549.283,1.004,1.202,9.192,1.083,40.000,54.706,64.360,88.022,0.200,4.000,0.069,0.111,0.038,0.062,4585.639,7378.293,6877.005,5540.589,5540.589,8914.808,8170.614,8207.849,"LINESTRING (-77.590441 38.930341, -77.606145 38.937861)",6.540,519.540,451.700,199.650,2943.000,464.240,6.540,519.540,451.700,199.650,2943.000,928.480,800.000,0.000,0.000,0.000,0.000,0.000,6.311138,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,4584.670,4584.670,0.000,1.073,1.073,0.000,6.311,6.311,0.000,9.192,9.192,0.000,period-based
9,9,qvdf,38112,2401,7.000000,1.110445,0.690146,1.035219,-1,0,,network_wide,-1,0,-1,-1,60000,c,60000,0800_0900,326.340,399.996,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.035,64.360,40.000,1.000,0.016,0.016,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,50.266,3150.000,1.004,1.202,0.000,0.000,40.000,54.706,64.360,88.022,0.200,4.000,40.000,64.360,54.706,88.022,225.222,362.382,5.631,276.056,276.056,444.173,-0.000,1.855,"LINESTRING (-77.622328 38.955522, -77.634111 38.951535)",5.760,64.260,34.700,14.200,181.900,25.520,5.760,64.260,34.700,14.200,181.900,51.040,22050.000,0.000,0.000,0.000,0.000,0.000,0.015957,0.000000,0.000000,0.000000,0.000000,0.000000,1.035,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,68.304,80.135,84.078,72.247,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,326.340,326.340,0.000,64.360,64.360,0.000,0.016,0.016,0.000,0.000,0.000,0.000,period-based
10,10,qvdf,38112,3725,1.000000,1.512780,0.940199,1.084845,-1,0,,network_wide,-1,0,-1,-1,60300,a,60300,0800_0900,7954.130,8694.254,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.009,0.627,0.012,9.967,9.967,900.000,900.000,0.000,0.000,0.000,1.000,1.000,8970.290,563.535,1.004,1.202,15.918,1.083,52.000,71.118,83.668,114.429,0.200,4.000,0.010,0.017,0.006,0.009,7478.462,12032.845,11931.195,8174.326,8174.326,13152.490,12884.183,12926.440,"LINESTRING (-77.622328 38.955522, -77.622657 38.969132)",0.540,1238.280,386.550,141.300,5171.300,1016.160,0.540,1238.280,386.550,141.300,5171.300,2032.320,900.000,0.000,0.000,0.000,0.000,0.000,9.966989,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,,7954.130,7954.130,0.000,1.009,1.009,0.000,9.967,9.967,0.000,15.918,15.918,0.000,period-based
