link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,vehicle_volume,person_volume,ref_volume,ref_diff,restricted_turn_nodes,auto_turn_volume,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_lane,mu_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf_mph,v_congestion_cutoff_mph,vf_kmph,v_congestion_cutoff_kmph,QVDF_cp,QVDF_s,QVDF_v_mph,QVDF_v_kmph,vt2_mph,vt2_kmph,VMT,VKMT,VHT,PMT,PKMT,PHT,PDT_vf,PDT_vc,geometry,vehicle_vol_apv,vehicle_vol_com,vehicle_vol_hov2,vehicle_vol_hov3,vehicle_vol_sov,vehicle_vol_trk,MEU_vol_apv,MEU_vol_com,MEU_vol_hov2,MEU_vol_hov3,MEU_vol_sov,MEU_vol_trk,mode_link_cap_apv,mode_link_cap_com,mode_link_cap_hov2,mode_link_cap_hov3,mode_link_cap_sov,mode_link_cap_trk,mode_DOC_apv,mode_DOC_com,mode_DOC_hov2,mode_DOC_hov3,mode_DOC_sov,mode_DOC_trk,mode_TT_apv,mode_TT_com,mode_TT_hov2,mode_TT_hov3,mode_TT_sov,mode_TT_trk,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
1,1,qvdf,2400,38489,7.000000,2.719785,1.690357,2.897755,-1,0,,network_wide,-1,0,-1,-1,50000,c,50000,1600_1700,2656.350,3722.166,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,2.892,56.435,35.074,1.002,0.125,0.125,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,394.796,3150.000,1.002,1.181,0.016,0.000,35.000,47.868,56.315,77.019,0.136,4.000,35.074,56.435,47.868,77.019,4490.180,7224.700,128.019,6291.790,6291.790,10123.490,-0.381,47.943,"LINESTRING (-77.593115 38.916173, -77.607979 38.937693)",15.360,198.330,483.300,229.320,1622.820,107.220,15.360,198.330,483.300,229.320,1622.820,214.440,22050.000,0.000,0.000,0.000,0.000,0.000,0.125332,0.000000,0.000000,0.000000,0.000000,0.000000,2.892,0.000,0.000,0.000,0.000,0.000,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,59.821,70.339,73.734,63.327,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,,2656.350,2656.350,0.000,56.435,56.435,0.000,0.125,0.125,0.000,0.016,0.016,0.000,period-based
2,2,qvdf,2401,38112,7.000000,1.110445,0.690146,1.035219,-1,0,,network_wide,-1,0,-1,-1,60000,c,60000,1600_1700,408.300,561.825,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.035,64.363,40.002,1.000,0.019,0.019,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,60.407,3150.000,1.002,1.181,0.000,0.000,40.000,54.706,64.360,88.022,0.136,4.000,40.002,64.363,54.706,88.022,281.787,453.395,7.044,387.741,387.741,623.876,-0.000,2.605,"LINESTRING (-77.634111 38.951535, -77.622328 38.955522)",3.150,57.570,76.860,29.910,226.260,14.550,3.150,57.570,76.860,29.910,226.260,29.100,22050.000,0.000,0.000,0.000,0.000,0.000,0.019177,0.000000,0.000000,0.000000,0.000000,0.000000,1.035,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,68.305,80.140,84.083,72.250,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,408.300,408.300,0.000,64.363,64.363,0.000,0.019,0.019,0.000,0.000,0.000,0.000,period-based
3,3,qvdf,2402,38491,7.000000,1.449130,0.900640,1.543955,-1,0,,network_wide,-1,0,-1,-1,50000,c,50000,1600_1700,1742.190,2446.647,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.543,56.366,35.032,1.001,0.082,0.082,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,257.383,3150.000,1.002,1.181,0.007,0.000,35.000,47.868,56.315,77.019,0.136,4.000,35.032,56.366,47.868,77.019,1569.087,2524.660,44.791,2203.549,2203.549,3545.510,-0.057,16.868,"LINESTRING (-77.600503 38.950677, -77.584346 38.947135)",10.620,129.390,326.760,148.530,1067.400,59.490,10.620,129.390,326.760,148.530,1067.400,118.980,22050.000,0.000,0.000,0.000,0.000,0.000,0.081709,0.000000,0.000000,0.000000,0.000000,0.000000,1.543,0.000,0.000,0.000,0.000,0.000,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,59.789,70.211,73.638,63.263,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,,1742.190,1742.190,0.000,56.366,56.366,0.000,0.082,0.082,0.000,0.007,0.007,0.000,period-based
4,4,qvdf,2402,55001,7.000000,1.256589,0.780975,1.338814,-1,0,,network_wide,-1,0,-1,-1,50000,c,50000,1600_1700,694.320,942.012,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.339,56.323,35.005,1.000,0.033,0.033,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,104.019,3150.000,1.002,1.181,0.001,0.000,35.000,47.868,56.315,77.019,0.136,4.000,35.005,56.323,47.868,77.019,542.247,872.475,15.490,735.688,735.688,1183.722,-0.003,5.647,"LINESTRING (-77.600503 38.950677, -77.611957 38.944155)",1.020,74.490,118.830,51.300,414.870,33.810,1.020,74.490,118.830,51.300,414.870,67.620,22050.000,0.000,0.000,0.000,0.000,0.000,0.033022,0.000000,0.000000,0.000000,0.000000,0.000000,1.339,0.000,0.000,0.000,0.000,0.000,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,59.769,70.133,73.580,63.224,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,,694.320,694.320,0.000,56.323,56.323,0.000,0.033,0.033,0.000,0.001,0.001,0.000,period-based
5,5,qvdf,3723,38488,1.000000,0.547176,0.340072,0.392391,-1,0,,network_wide,-1,0,-1,-1,60300,a,60300,1600_1700,10061.970,12601.665,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,0.365,0.227,0.004,9.990,9.990,900.000,900.000,0.000,0.000,0.000,1.000,1.000,10634.670,700.344,1.002,1.181,15.185,1.083,52.000,71.118,83.668,114.429,0.136,4.000,0.013,0.020,0.010,0.016,3421.793,5505.664,15092.955,4285.472,4285.472,6895.324,18820.084,18842.238,"LINESTRING (-77.625038 38.931782, -77.624237 38.936613)",29.400,1383.990,1101.330,568.290,6406.260,572.700,29.400,1383.990,1101.330,568.290,6406.260,1145.400,900.000,0.000,0.000,0.000,0.000,0.000,9.990000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,,10061.970,10061.970,0.000,0.365,0.365,0.000,9.990,9.990,0.000,15.185,15.185,0.000,period-based
6,6,qvdf,3724,38491,1.000000,0.820763,0.510108,0.765162,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,1600_1700,8718.150,10897.947,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,0.547,0.340,0.009,9.990,9.990,800.000,800.000,0.000,0.000,0.000,1.000,1.000,9056.850,596.437,1.002,1.181,15.185,1.083,40.000,54.706,64.360,88.022,0.136,4.000,0.010,0.016,0.008,0.012,4447.196,7155.539,13077.226,5559.127,5559.127,8944.636,16207.942,16245.303,"LINESTRING (-77.580048 38.953013, -77.584346 38.947135)",55.920,821.220,1072.170,429.630,6000.510,338.700,55.920,821.220,1072.170,429.630,6000.510,677.400,800.000,0.000,0.000,0.000,0.000,0.000,9.990000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,8718.150,8718.150,0.000,0.547,0.547,0.000,9.990,9.990,0.000,15.185,15.185,0.000,period-based
7,7,qvdf,3725,38112,1.000000,1.512780,0.940199,1.084845,-1,0,,network_wide,-1,0,-1,-1,60300,a,60300,1600_1700,7997.010,9865.170,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.009,0.627,0.012,9.424,9.424,900.000,900.000,0.000,0.000,0.000,1.000,1.000,8481.660,598.386,1.002,1.181,14.174,1.083,52.000,71.118,83.668,114.429,0.136,4.000,0.016,0.026,0.013,0.021,7518.778,12097.714,11995.516,9275.220,9275.220,14923.829,14619.386,14667.334,"LINESTRING (-77.622657 38.969132, -77.622328 38.955522)",3.150,1219.770,926.070,376.080,4987.290,484.650,3.150,1219.770,926.070,376.080,4987.290,969.300,900.000,0.000,0.000,0.000,0.000,0.000,9.424067,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,,7997.010,7997.010,0.000,1.009,1.009,0.000,9.424,9.424,0.000,14.174,14.174,0.000,period-based
8,8,qvdf,3726,38490,1.000000,1.609340,1.000211,1.500317,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,1600_1700,7103.520,9283.710,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.073,0.667,0.017,9.209,9.209,800.000,800.000,0.000,0.000,0.000,1.000,1.000,7367.370,534.125,1.002,1.181,13.793,1.083,40.000,54.706,64.360,88.022,0.136,4.000,0.014,0.023,0.011,0.018,7105.021,11431.979,10655.280,9285.672,9285.672,14940.646,13693.423,13755.827,"LINESTRING (-77.590441 38.930341, -77.606145 38.937861)",0.000,496.590,1014.090,466.440,4862.550,263.850,0.000,496.590,1014.090,466.440,4862.550,527.700,800.000,0.000,0.000,0.000,0.000,0.000,9.209213,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,7103.520,7103.520,0.000,1.073,1.073,0.000,9.209,9.209,0.000,13.793,13.793,0.000,period-based
9,9,qvdf,38112,2401,7.000000,1.110445,0.690146,1.035219,-1,0,,network_wide,-1,0,-1,-1,60000,c,60000,1600_1700,491.280,662.175,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.035,64.365,40.003,1.000,0.023,0.023,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,72.261,3150.000,1.002,1.181,0.001,0.000,40.000,54.706,64.360,88.022,0.136,4.000,40.003,64.365,54.706,88.022,339.055,545.539,8.476,456.997,456.997,735.309,-0.001,3.070,"LINESTRING (-77.622328 38.955522, -77.634111 38.951535)",3.150,56.820,80.880,35.250,300.630,14.550,3.150,56.820,80.880,35.250,300.630,29.100,22050.000,0.000,0.000,0.000,0.000,0.000,0.022940,0.000000,0.000000,0.000000,0.000000,0.000000,1.035,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,68.306,80.143,84.085,72.251,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,491.280,491.280,0.000,64.365,64.365,0.000,0.023,0.023,0.000,0.001,0.001,0.000,period-based
10,10,qvdf,38112,3725,1.000000,1.512780,0.940199,1.084845,-1,0,,network_wide,-1,0,-1,-1,60300,a,60300,1600_1700,9794.550,12127.665,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.009,0.627,0.012,9.990,9.990,900.000,900.000,0.000,0.000,0.000,1.000,1.000,10294.980,677.973,1.002,1.181,15.185,1.083,52.000,71.118,83.668,114.429,0.136,4.000,0.013,0.020,0.010,0.016,9208.822,14816.995,14691.824,11402.414,11402.414,18346.484,17972.221,18031.166,"LINESTRING (-77.622328 38.955522, -77.622657 38.969132)",0.000,1129.950,1079.190,501.570,6583.410,500.430,0.000,1129.950,1079.190,501.570,6583.410,1000.860,900.000,0.000,0.000,0.000,0.000,0.000,9.990000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,,9794.550,9794.550,0.000,1.009,1.009,0.000,9.990,9.990,0.000,15.185,15.185,0.000,period-based
