link_seq_id,link_id,base_s0_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,free_speed_s0,capacity_s0,lanes_p1_s0_apv,lanes_p1_s0_com,lanes_p1_s0_hov2,lanes_p1_s0_hov3,lanes_p1_s0_sov,lanes_p1_s0_trk,VOL_p1_s0_apv,VOL_p1_s0_com,VOL_p1_s0_hov2,VOL_p1_s0_hov3,VOL_p1_s0_sov,VOL_p1_s0_trk,MEU_p1_s0_apv,MEU_p1_s0_com,MEU_p1_s0_hov2,MEU_p1_s0_hov3,MEU_p1_s0_sov,MEU_p1_s0_trk,CAP_p1_s0_apv,CAP_p1_s0_com,CAP_p1_s0_hov2,CAP_p1_s0_hov3,CAP_p1_s0_sov,CAP_p1_s0_trk,PEN_p1_s0_apv,PEN_p1_s0_com,PEN_p1_s0_hov2,PEN_p1_s0_hov3,PEN_p1_s0_sov,PEN_p1_s0_trk,DOC_p1_s0_apv,DOC_p1_s0_com,DOC_p1_s0_hov2,DOC_p1_s0_hov3,DOC_p1_s0_sov,DOC_p1_s0_trk,TT_p1_s0_apv,TT_p1_s0_com,TT_p1_s0_hov2,TT_p1_s0_hov3,TT_p1_s0_sov,TT_p1_s0_trk,CO2_p1_s0_apv,CO2_p1_s0_com,CO2_p1_s0_hov2,CO2_p1_s0_hov3,CO2_p1_s0_sov,CO2_p1_s0_trk,NOX_p1_s0_apv,NOX_p1_s0_com,NOX_p1_s0_hov2,NOX_p1_s0_hov3,NOX_p1_s0_sov,NOX_p1_s0_trk,VOL_pm_scenario_pm_apv,MEU_pm_scenario_pm_apv,CAP_pm_scenario_pm_apv,PEN_pm_scenario_pm_apv,DOC_pm_scenario_pm_apv,TT_pm_scenario_pm_apv,CO2_pm_scenario_pm_apv,NOX_pm_scenario_pm_apv,VOL_pm_scenario_pm_com,MEU_pm_scenario_pm_com,CAP_pm_scenario_pm_com,PEN_pm_scenario_pm_com,DOC_pm_scenario_pm_com,TT_pm_scenario_pm_com,CO2_pm_scenario_pm_com,NOX_pm_scenario_pm_com,VOL_pm_scenario_pm_hov2,MEU_pm_scenario_pm_hov2,CAP_pm_scenario_pm_hov2,PEN_pm_scenario_pm_hov2,DOC_pm_scenario_pm_hov2,TT_pm_scenario_pm_hov2,CO2_pm_scenario_pm_hov2,NOX_pm_scenario_pm_hov2,VOL_pm_scenario_pm_hov3,MEU_pm_scenario_pm_hov3,CAP_pm_scenario_pm_hov3,PEN_pm_scenario_pm_hov3,DOC_pm_scenario_pm_hov3,TT_pm_scenario_pm_hov3,CO2_pm_scenario_pm_hov3,NOX_pm_scenario_pm_hov3,VOL_pm_scenario_pm_sov,MEU_pm_scenario_pm_sov,CAP_pm_scenario_pm_sov,PEN_pm_scenario_pm_sov,DOC_pm_scenario_pm_sov,TT_pm_scenario_pm_sov,CO2_pm_scenario_pm_sov,NOX_pm_scenario_pm_sov,VOL_pm_scenario_pm_trk,MEU_pm_scenario_pm_trk,CAP_pm_scenario_pm_trk,PEN_pm_scenario_pm_trk,DOC_pm_scenario_pm_trk,TT_pm_scenario_pm_trk,CO2_pm_scenario_pm_trk,NOX_pm_scenario_pm_trk,
1,1,Centroids,2400,38489,"LINESTRING (-77.593115 38.916173, -77.607979 38.937693)",2.719785,1.690357,2.897755,56.315000,0.000000,3150.000000,0.000000,-1,,network_wide,-1,0,-1,-1,7.0,Centroids,56.3,3150.0,7.0,7.0,7.0,7.0,7.0,7.0,20.5,264.4,644.4,305.8,2163.8,143.0,20.5,264.4,644.4,305.8,2163.8,285.9,22050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1671,0.0000,0.0000,0.0000,0.0000,0.0000,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,20.5,22050.000,0.000,0.1671,2.897,0.000,0.000,264.4,264.4,0.000,0.000,0.0000,0.000,0.000,0.000,644.4,644.4,0.000,0.000,0.0000,0.000,0.000,0.000,305.8,305.8,0.000,0.000,0.0000,0.000,0.000,0.000,2163.8,2163.8,0.000,0.000,0.0000,0.000,0.000,0.000,143.0,285.9,0.000,0.000,0.0000,0.000,0.000,0.000,
2,2,Centroids,2401,38112,"LINESTRING (-77.634111 38.951535, -77.622328 38.955522)",1.110445,0.690146,1.035219,64.360000,0.000000,3150.000000,0.000000,-1,,network_wide,-1,0,-1,-1,7.0,Centroids,64.4,3150.0,7.0,7.0,7.0,7.0,7.0,7.0,4.2,76.8,102.5,39.9,301.7,19.4,4.2,76.8,102.5,39.9,301.7,38.8,22050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,4.2,22050.000,0.000,0.0256,1.035,0.000,0.000,76.8,76.8,0.000,0.000,0.0000,0.000,0.000,0.000,102.5,102.5,0.000,0.000,0.0000,0.000,0.000,0.000,39.9,39.9,0.000,0.000,0.0000,0.000,0.000,0.000,301.7,301.7,0.000,0.000,0.0000,0.000,0.000,0.000,19.4,38.8,0.000,0.000,0.0000,0.000,0.000,0.000,
3,3,Centroids,2402,38491,"LINESTRING (-77.600503 38.950677, -77.584346 38.947135)",1.449130,0.900640,1.543955,56.315000,0.000000,3150.000000,0.000000,-1,,network_wide,-1,0,-1,-1,7.0,Centroids,56.3,3150.0,7.0,7.0,7.0,7.0,7.0,7.0,14.2,172.5,435.7,198.0,1423.2,79.3,14.2,172.5,435.7,198.0,1423.2,158.6,22050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1089,0.0000,0.0000,0.0000,0.0000,0.0000,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,14.2,22050.000,0.000,0.1089,1.544,0.000,0.000,172.5,172.5,0.000,0.000,0.0000,0.000,0.000,0.000,435.7,435.7,0.000,0.000,0.0000,0.000,0.000,0.000,198.0,198.0,0.000,0.000,0.0000,0.000,0.000,0.000,1423.2,1423.2,0.000,0.000,0.0000,0.000,0.000,0.000,79.3,158.6,0.000,0.000,0.0000,0.000,0.000,0.000,
4,4,Centroids,2402,55001,"LINESTRING (-77.600503 38.950677, -77.611957 38.944155)",1.256589,0.780975,1.338814,56.315000,0.000000,3150.000000,0.000000,-1,,network_wide,-1,0,-1,-1,7.0,Centroids,56.3,3150.0,7.0,7.0,7.0,7.0,7.0,7.0,1.4,99.3,158.4,68.4,553.2,45.1,1.4,99.3,158.4,68.4,553.2,90.2,22050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0440,0.0000,0.0000,0.0000,0.0000,0.0000,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,22050.000,0.000,0.0440,1.339,0.000,0.000,99.3,99.3,0.000,0.000,0.0000,0.000,0.000,0.000,158.4,158.4,0.000,0.000,0.0000,0.000,0.000,0.000,68.4,68.4,0.000,0.000,0.0000,0.000,0.000,0.000,553.2,553.2,0.000,0.000,0.0000,0.000,0.000,0.000,45.1,90.2,0.000,0.000,0.0000,0.000,0.000,0.000,
5,5,Minor Arterial,3723,38488,"LINESTRING (-77.625038 38.931782, -77.624237 38.936613)",0.547176,0.340072,0.392391,83.668000,0.000000,900.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Minor Arterial,83.7,900.0,1.0,1.0,1.0,1.0,1.0,1.0,39.2,1845.3,1468.4,757.7,8541.7,763.6,39.2,1845.3,1468.4,757.7,8541.7,1527.2,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9900,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.2,39.2,900.000,0.000,9.9900,90.000,0.000,0.000,1845.3,1845.3,0.000,0.000,0.0000,0.000,0.000,0.000,1468.4,1468.4,0.000,0.000,0.0000,0.000,0.000,0.000,757.7,757.7,0.000,0.000,0.0000,0.000,0.000,0.000,8541.7,8541.7,0.000,0.000,0.0000,0.000,0.000,0.000,763.6,1527.2,0.000,0.000,0.0000,0.000,0.000,0.000,
6,6,Collector,3724,38491,"LINESTRING (-77.580048 38.953013, -77.584346 38.947135)",0.820763,0.510108,0.765162,64.360000,0.000000,800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Collector,64.4,800.0,1.0,1.0,1.0,1.0,1.0,1.0,74.6,1095.0,1429.6,572.8,8000.7,451.6,74.6,1095.0,1429.6,572.8,8000.7,903.2,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9900,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6,74.6,800.000,0.000,9.9900,90.000,0.000,0.000,1095.0,1095.0,0.000,0.000,0.0000,0.000,0.000,0.000,1429.6,1429.6,0.000,0.000,0.0000,0.000,0.000,0.000,572.8,572.8,0.000,0.000,0.0000,0.000,0.000,0.000,8000.7,8000.7,0.000,0.000,0.0000,0.000,0.000,0.000,451.6,903.2,0.000,0.000,0.0000,0.000,0.000,0.000,
7,7,Minor Arterial,3725,38112,"LINESTRING (-77.622657 38.969132, -77.622328 38.955522)",1.512780,0.940199,1.084845,83.668000,0.000000,900.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Minor Arterial,83.7,900.0,1.0,1.0,1.0,1.0,1.0,1.0,4.2,1626.4,1234.8,501.4,6649.7,646.2,4.2,1626.4,1234.8,501.4,6649.7,1292.4,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9900,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,4.2,900.000,0.000,9.9900,90.000,0.000,0.000,1626.4,1626.4,0.000,0.000,0.0000,0.000,0.000,0.000,1234.8,1234.8,0.000,0.000,0.0000,0.000,0.000,0.000,501.4,501.4,0.000,0.000,0.0000,0.000,0.000,0.000,6649.7,6649.7,0.000,0.000,0.0000,0.000,0.000,0.000,646.2,1292.4,0.000,0.000,0.0000,0.000,0.000,0.000,
8,8,Collector,3726,38490,"LINESTRING (-77.590441 38.930341, -77.606145 38.937861)",1.609340,1.000211,1.500317,64.360000,0.000000,800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Collector,64.4,800.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,662.1,1352.1,621.9,6483.4,351.8,0.0,662.1,1352.1,621.9,6483.4,703.6,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9900,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.000,0.000,9.9900,90.000,0.000,0.000,662.1,662.1,0.000,0.000,0.0000,0.000,0.000,0.000,1352.1,1352.1,0.000,0.000,0.0000,0.000,0.000,0.000,621.9,621.9,0.000,0.000,0.0000,0.000,0.000,0.000,6483.4,6483.4,0.000,0.000,0.0000,0.000,0.000,0.000,351.8,703.6,0.000,0.000,0.0000,0.000,0.000,0.000,
9,9,Centroids,38112,2401,"LINESTRING (-77.622328 38.955522, -77.634111 38.951535)",1.110445,0.690146,1.035219,64.360000,0.000000,3150.000000,0.000000,-1,,network_wide,-1,0,-1,-1,7.0,Centroids,64.4,3150.0,7.0,7.0,7.0,7.0,7.0,7.0,4.2,75.8,107.8,47.0,400.8,19.4,4.2,75.8,107.8,47.0,400.8,38.8,22050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0306,0.0000,0.0000,0.0000,0.0000,0.0000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,4.2,22050.000,0.000,0.0306,1.035,0.000,0.000,75.8,75.8,0.000,0.000,0.0000,0.000,0.000,0.000,107.8,107.8,0.000,0.000,0.0000,0.000,0.000,0.000,47.0,47.0,0.000,0.000,0.0000,0.000,0.000,0.000,400.8,400.8,0.000,0.000,0.0000,0.000,0.000,0.000,19.4,38.8,0.000,0.000,0.0000,0.000,0.000,0.000,
10,10,Minor Arterial,38112,3725,"LINESTRING (-77.622328 38.955522, -77.622657 38.969132)",1.512780,0.940199,1.084845,83.668000,0.000000,900.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Minor Arterial,83.7,900.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1506.6,1438.9,668.8,8777.9,667.2,0.0,1506.6,1438.9,668.8,8777.9,1334.5,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9900,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.000,0.000,9.9900,90.000,0.000,0.000,1506.6,1506.6,0.000,0.000,0.0000,0.000,0.000,0.000,1438.9,1438.9,0.000,0.000,0.0000,0.000,0.000,0.000,668.8,668.8,0.000,0.000,0.0000,0.000,0.000,0.000,8777.9,8777.9,0.000,0.000,0.0000,0.000,0.000,0.000,667.2,1334.5,0.000,0.000,0.0000,0.000,0.000,0.000,
