iteration_no,link_id,from_node_id,to_node_id,volume,travel_time
0,1,2400,38489,0,2.89776
0,2,2401,38112,0,1.03522
0,3,2402,38491,0,1.54395
0,4,2402,55001,0,1.33881
0,5,3723,38488,0,0.392391
0,6,3724,38491,0,0.765162
0,7,3725,38112,0,1.08484
0,8,3726,38490,0,1.50032
0,9,38112,2401,0,1.03522
0,10,38112,3725,0,1.08484
0,11,38112,38488,0,1.51186
0,12,38112,55001,0,1.48464
0,13,38488,3723,0,0.392391
0,14,38488,38112,0,1.51186
0,15,38488,38489,0,1.32028
0,16,38489,2400,0,2.89776
0,17,38489,38488,0,1.32028
0,18,38489,38490,0,0.150032
0,19,38490,3726,0,1.50032
0,20,38490,38489,0,0.150032
0,21,38490,38491,0,2.31049
0,22,38490,55001,0,0.825474
0,23,38491,2402,0,1.54395
0,24,38491,3724,0,0.765162
0,25,38491,38490,0,2.31049
0,26,55001,2402,0,1.33881
0,27,55001,38112,0,1.48464
0,28,55001,38490,0,0.825474
0,1,2400,38489,3684.76,2.89745
0,2,2401,38112,563.8,1.03522
0,3,2402,38491,2402.24,1.54393
0,4,2402,55001,970.84,1.33881
0,5,3723,38488,14179.6,90
0,6,3724,38491,12075.8,90
0,7,3725,38112,11308.9,90
0,8,3726,38490,9823.16,90
0,9,38112,2401,674.44,1.03522
0,10,38112,3725,13726.6,90
0,11,38112,38488,8171.64,90
0,12,38112,55001,4167.56,90
0,13,38488,3723,16329,90
0,14,38488,38112,8982.28,90
0,15,38488,38489,6275.96,90
0,16,38489,2400,5211.48,2.89653
0,17,38489,38488,9236.08,90
0,18,38489,38490,7682.16,90
0,19,38490,3726,7232.32,90
0,20,38490,38489,12169,90
0,21,38490,38491,7086.48,90
0,22,38490,55001,4915.84,90
0,23,38491,2402,3323.2,1.54385
0,24,38491,3724,7601.08,90
0,25,38491,38490,10640.2,90
0,26,55001,2402,910.84,1.33881
0,27,55001,38112,5885.32,90
0,28,55001,38490,3258.08,61.085
1,1,2400,38489,1842.38,2.89774
1,2,2401,38112,281.9,1.03522
1,3,2402,38491,1201.12,1.54395
1,4,2402,55001,485.42,1.33881
1,5,3723,38488,7089.78,90
1,6,3724,38491,6037.9,90
1,7,3725,38112,5654.44,90
1,8,3726,38490,4911.58,90
1,9,38112,2401,337.22,1.03522
1,10,38112,3725,6863.32,90
1,11,38112,38488,4085.82,90
1,12,38112,55001,2083.78,15.7051
1,13,38488,3723,8164.52,90
1,14,38488,38112,4491.14,90
1,15,38488,38489,3137.98,82.6877
1,16,38489,2400,2605.74,2.89768
1,17,38489,38488,4618.04,90
1,18,38489,38490,3841.08,23.1304
1,19,38490,3726,3616.16,90
1,20,38490,38489,6084.5,90
1,21,38490,38491,3543.24,90
1,22,38490,55001,2457.92,17.666
1,23,38491,2402,1661.6,1.54395
1,24,38491,3724,3800.54,90
1,25,38491,38490,5320.12,90
1,26,55001,2402,455.42,1.33881
1,27,55001,38112,2942.66,69.9464
1,28,55001,38490,1629.04,3.2946
1,1,2400,38489,3684.76,2.89745
1,2,2401,38112,563.8,1.03522
1,3,2402,38491,2402.24,1.54393
1,4,2402,55001,970.84,1.33881
1,5,3723,38488,14179.6,90
1,6,3724,38491,12075.8,90
1,7,3725,38112,11308.9,90
1,8,3726,38490,9823.16,90
1,9,38112,2401,674.44,1.03522
1,10,38112,3725,13726.6,90
1,11,38112,38488,8190.92,90
1,12,38112,55001,4167.56,90
1,13,38488,3723,16329,90
1,14,38488,38112,8982.28,90
1,15,38488,38489,6275.96,90
1,16,38489,2400,5211.48,2.89653
1,17,38489,38488,9216.8,90
1,18,38489,38490,7682.16,90
1,19,38490,3726,7232.32,90
1,20,38490,38489,12149.7,90
1,21,38490,38491,7086.48,90
1,22,38490,55001,4935.12,90
1,23,38491,2402,3323.2,1.54385
1,24,38491,3724,7601.08,90
1,25,38491,38490,10640.2,90
1,26,55001,2402,910.84,1.33881
1,27,55001,38112,5904.6,90
1,28,55001,38490,3258.08,61.085
2,1,2400,38489,2456.51,2.89769
2,2,2401,38112,375.867,1.03522
2,3,2402,38491,1601.49,1.54395
2,4,2402,55001,647.227,1.33881
2,5,3723,38488,9453.04,90
2,6,3724,38491,8050.53,90
2,7,3725,38112,7539.25,90
2,8,3726,38490,6548.77,90
2,9,38112,2401,449.627,1.03522
2,10,38112,3725,9151.09,90
2,11,38112,38488,5460.61,90
2,12,38112,55001,2778.37,54.2893
2,13,38488,3723,10886,90
2,14,38488,38112,5988.19,90
2,15,38488,38489,4183.97,90
2,16,38489,2400,3474.32,2.89751
2,17,38489,38488,6144.53,90
2,18,38489,38490,5121.44,83.8869
2,19,38490,3726,4821.55,90
2,20,38490,38489,8099.81,90
2,21,38490,38491,4724.32,90
2,22,38490,55001,3290.08,63.7985
