link_id,link_no,layer_no,from_node_id,to_node_id,from_gate_flag,to_gate_flag,link_type,link_type_name,link_type_code,lanes,link_distance_mile,link_distance_km,free_speed_mph,free_speed_kmph,cutoff_speed_mph,cutoff_speed_kmph,fftt_min,capacity, BPR_alpha,BPR_beta,VDF_preload_pm,restricted_turn_nodes_pm,VDF_toll_pm_apv,VDF_toll_pm_com,VDF_toll_pm_hov2,VDF_toll_pm_hov3,VDF_toll_pm_sov,VDF_toll_pm_trk,demand_period_internal_0,allow_uses_pm,QVDF_plf_pm,QVDF_alpha_pm,QVDF_beta_pm,QVDF_cd_pm,QVDF_n_pm,QVDF_s_pm,geometry,
1,0,0,2400,38489,-1,-1,50000,,c,7.000000,1.690357,2.719785,35.000000,56.315000,47.867751,77.019211,2.897755,3150.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.593115 38.916173, -77.607979 38.937693)",
2,1,0,2401,38112,-1,-1,60000,,c,7.000000,0.690146,1.110445,40.000000,64.360000,54.706002,88.021957,1.035219,3150.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.634111 38.951535, -77.622328 38.955522)",
3,2,0,2402,38491,-1,-1,50000,,c,7.000000,0.900640,1.449130,35.000000,56.315000,47.867751,77.019211,1.543955,3150.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.600503 38.950677, -77.584346 38.947135)",
4,3,0,2402,55001,-1,-1,50000,,c,7.000000,0.780975,1.256589,35.000000,56.315000,47.867751,77.019211,1.338814,3150.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.600503 38.950677, -77.611957 38.944155)",
5,4,0,3723,38488,-1,-1,60300,,a,1.000000,0.340072,0.547176,52.000000,83.668000,71.117802,114.428543,0.392391,900.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.625038 38.931782, -77.624237 38.936613)",
6,5,0,3724,38491,-1,-1,50400,,a,1.000000,0.510108,0.820763,40.000000,64.360000,54.706002,88.021957,0.765162,800.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.580048 38.953013, -77.584346 38.947135)",
7,6,0,3725,38112,-1,-1,60300,,a,1.000000,0.940199,1.512780,52.000000,83.668000,71.117802,114.428543,1.084845,900.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.622657 38.969132, -77.622328 38.955522)",
8,7,0,3726,38490,-1,-1,50400,,a,1.000000,1.000211,1.609340,40.000000,64.360000,54.706002,88.021957,1.500317,800.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.590441 38.930341, -77.606145 38.937861)",
9,8,0,38112,2401,-1,-1,60000,,c,7.000000,0.690146,1.110445,40.000000,64.360000,54.706002,88.021957,1.035219,3150.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.622328 38.955522, -77.634111 38.951535)",
10,9,0,38112,3725,-1,-1,60300,,a,1.000000,0.940199,1.512780,52.000000,83.668000,71.117802,114.428543,1.084845,900.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.622328 38.955522, -77.622657 38.969132)",
11,10,0,38112,38488,-1,-1,60300,,a,1.000000,1.310277,2.108235,52.000000,83.668000,71.117802,114.428543,1.511858,900.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.622328 38.955522, -77.624237 38.936613)",
12,11,0,38112,55001,-1,-1,50400,,a,1.000000,0.989759,1.592522,40.000000,64.360000,54.706002,88.021957,1.484639,800.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.622328 38.955522, -77.611957 38.944155)",
13,12,0,38488,3723,-1,-1,60300,,a,1.000000,0.340072,0.547176,52.000000,83.668000,71.117802,114.428543,0.392391,900.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.624237 38.936613, -77.625038 38.931782)",
14,13,0,38488,38112,-1,-1,60300,,a,1.000000,1.310277,2.108235,52.000000,83.668000,71.117802,114.428543,1.511858,900.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.624237 38.936613, -77.622328 38.955522)",
15,14,0,38488,38489,-1,-1,50400,,a,1.000000,0.880186,1.416219,40.000000,64.360000,54.706002,88.021957,1.320279,800.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.624237 38.936613, -77.607979 38.937693)",
16,15,0,38489,2400,-1,-1,50000,,c,7.000000,1.690357,2.719785,35.000000,56.315000,47.867751,77.019211,2.897755,3150.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.607979 38.937693, -77.593115 38.916173)",
17,16,0,38489,38488,-1,-1,50400,,a,1.000000,0.880186,1.416219,40.000000,64.360000,54.706002,88.021957,1.320279,800.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.607979 38.937693, -77.624237 38.936613)",
18,17,0,38489,38490,-1,-1,50400,,a,1.000000,0.100021,0.160934,40.000000,64.360000,54.706002,88.021957,0.150032,800.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.607979 38.937693, -77.606145 38.937861)",
19,18,0,38490,3726,-1,-1,50400,,a,1.000000,1.000211,1.609340,40.000000,64.360000,54.706002,88.021957,1.500317,800.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.606145 38.937861, -77.590441 38.930341)",
