o_zone_id,d_zone_id,volume
2400,2400,97.15
2400,2401,1.29
2400,2402,9.96
2400,3723,69.03
2400,3724,202.37
2400,3725,50.14
2400,3726,343.4
2401,2400,1.13
2401,2401,4.25
2401,2402,2.56
2401,3723,10.01
2401,3724,19.33
2401,3725,9.3
2401,3726,21.57
2402,2400,8.65
2402,2401,2.72
2402,2402,73.76
2402,3723,37.45
2402,3724,340.74
2402,3725,37.59
2402,3726,68.08
3723,2400,35.77
3723,2401,6.38
3723,2402,30.54
3723,3724,1209.12
3723,3725,684.26
3723,3726,101.22
3724,2400,73.87
3724,2401,8.19
3724,2402,99.16
3724,3723,332.24
3724,3726,80.91
3725,2400,43.22
3725,2401,8.95
3725,2402,46.9
3725,3723,904.99
3725,3726,659.33
3726,2400,100.11
3726,2401,8.85
3726,2402,71.99
3726,3723,131.02
3726,3724,23.66
3726,3725,252.97
o_zone_id,d_zone_id,volume
2400,2400,97.15
2400,2401,1.29
2400,2402,9.96
2400,3723,69.03
2400,3724,202.37
2400,3725,50.14
2400,3726,343.4
2401,2400,1.13
2401,2401,4.25
2401,2402,2.56
2401,3723,10.01
2401,3724,19.33
2401,3725,9.3
2401,3726,21.57
2402,2400,8.65
2402,2401,2.72
2402,2402,73.76
2402,3723,37.45
2402,3724,340.74
2402,3725,37.59
2402,3726,68.08
3723,2400,35.77
3723,2401,6.38
3723,2402,30.54
3723,3724,1209.12
3723,3725,684.26
3723,3726,101.22
3724,2400,73.87
3724,2401,8.19
3724,2402,99.16
3724,3723,332.24
3724,3726,80.91
3725,2400,43.22
3725,2401,8.95
3725,2402,46.9
3725,3723,904.99
3725,3726,659.33
3726,2400,100.11
3726,2401,8.85
3726,2402,71.99
3726,3723,131.02
3726,3724,23.66
3726,3725,252.97
o_zone_id,d_zone_id,volume
2400,2400,97.15
2400,2401,1.29
2400,2402,9.96
2400,3723,69.03
2400,3724,202.37
2400,3725,50.14
2400,3726,343.4
2401,2400,1.13
2401,2401,4.25
2401,2402,2.56
2401,3723,10.01
2401,3724,19.33
2401,3725,9.3
2401,3726,21.57
2402,2400,8.65
2402,2401,2.72
2402,2402,73.76
2402,3723,37.45
2402,3724,340.74
2402,3725,37.59
2402,3726,68.08
3723,2400,35.77
3723,2401,6.38
3723,2402,30.54
3723,3724,1209.12
3723,3725,684.26
3723,3726,101.22
3724,2400,73.87
3724,2401,8.19
3724,2402,99.16
3724,3723,332.24
3724,3726,80.91
3725,2400,43.22
3725,2401,8.95
3725,2402,46.9
3725,3723,904.99
3725,3726,659.33
3726,2400,100.11
3726,2401,8.85
3726,2402,71.99
3726,3723,131.02
3726,3724,23.66
3726,3725,252.97
o_zone_id,d_zone_id,volume
2400,2400,97.15
2400,2401,1.29
2400,2402,9.96
2400,3723,69.03
2400,3724,202.37
2400,3725,50.14
2400,3726,343.4
2401,2400,1.13
2401,2401,4.25
2401,2402,2.56
2401,3723,10.01
2401,3724,19.33
2401,3725,9.3
2401,3726,21.57
2402,2400,8.65
2402,2401,2.72
2402,2402,73.76
2402,3723,37.45
2402,3724,340.74
2402,3725,37.59
2402,3726,68.08
3723,2400,35.77
3723,2401,6.38
3723,2402,30.54
3723,3724,1209.12
3723,3725,684.26
3723,3726,101.22
3724,2400,73.87
3724,2401,8.19
3724,2402,99.16
3724,3723,332.24
3724,3726,80.91
3725,2400,43.22
3725,2401,8.95
3725,2402,46.9
3725,3723,904.99
3725,3726,659.33
3726,2400,100.11
3726,2401,8.85
3726,2402,71.99
3726,3723,131.02
3726,3724,23.66
3726,3725,252.97
