o_zone_id,d_zone_id,volume
2400,2400,223.24
2400,2401,2.44
2400,2402,17.57
2400,3723,90.62
2400,3724,184.85
2400,3725,66.5
2400,3726,197.84
2401,2400,2.61
2401,2401,10.38
2401,2402,5.75
2401,3723,12.07
2401,3725,38.12
2401,3726,9.35
2402,2400,18.41
2402,2401,5.45
2402,2402,154.73
2402,3723,55.89
2402,3724,241.35
2402,3725,66.36
2402,3726,86.69
3723,2400,141.2
3723,2401,16.3
3723,2402,78.32
3723,3724,331.93
3723,3725,1578.79
3723,3726,136.01
3724,2400,277.19
3724,2402,347.14
3724,3723,415.58
3724,3726,86.58
3725,2400,72.95
3725,2401,47.35
3725,2402,67.41
3725,3723,1119.9
3725,3726,124.22
3726,2400,289.06
3726,2401,8.53
3726,2402,91.92
3726,3723,106.4
3726,3724,82.53
3726,3725,117.35
o_zone_id,d_zone_id,volume
2400,2400,223.24
2400,2401,2.44
2400,2402,17.57
2400,3723,90.62
2400,3724,184.85
2400,3725,66.5
2400,3726,197.84
2401,2400,2.61
2401,2401,10.38
2401,2402,5.75
2401,3723,12.07
2401,3725,38.12
2401,3726,9.35
2402,2400,18.41
2402,2401,5.45
2402,2402,154.73
2402,3723,55.89
2402,3724,241.35
2402,3725,66.36
2402,3726,86.69
3723,2400,141.2
3723,2401,16.3
3723,2402,78.32
3723,3724,331.93
3723,3725,1578.79
3723,3726,136.01
3724,2400,277.19
3724,2402,347.14
3724,3723,415.58
3724,3726,86.58
3725,2400,72.95
3725,2401,47.35
3725,2402,67.41
3725,3723,1119.9
3725,3726,124.22
3726,2400,289.06
3726,2401,8.53
3726,2402,91.92
3726,3723,106.4
3726,3724,82.53
3726,3725,117.35
o_zone_id,d_zone_id,volume
2400,2400,223.24
2400,2401,2.44
2400,2402,17.57
2400,3723,90.62
2400,3724,184.85
2400,3725,66.5
2400,3726,197.84
2401,2400,2.61
2401,2401,10.38
2401,2402,5.75
2401,3723,12.07
2401,3725,38.12
2401,3726,9.35
2402,2400,18.41
2402,2401,5.45
2402,2402,154.73
2402,3723,55.89
2402,3724,241.35
2402,3725,66.36
2402,3726,86.69
3723,2400,141.2
3723,2401,16.3
3723,2402,78.32
3723,3724,331.93
3723,3725,1578.79
3723,3726,136.01
3724,2400,277.19
3724,2402,347.14
3724,3723,415.58
3724,3726,86.58
3725,2400,72.95
3725,2401,47.35
3725,2402,67.41
3725,3723,1119.9
3725,3726,124.22
3726,2400,289.06
3726,2401,8.53
3726,2402,91.92
3726,3723,106.4
3726,3724,82.53
3726,3725,117.35
