o_zone_id,d_zone_id,volume
2400,2400,218.56
2400,2401,2.68
2400,2402,18.4
2400,3723,81.95
2400,3724,161.49
2400,3725,72.35
2400,3726,204.07
2401,2400,2.81
2401,2401,12.23
2401,2402,6.36
2401,3723,12.7
2401,3724,18.56
2401,3725,16.88
2401,3726,18.11
2402,2400,19.52
2402,2401,6.25
2402,2402,171.11
2402,3723,56.09
2402,3724,199.11
2402,3725,75.95
2402,3726,137.17
3723,2400,100.67
3723,2401,15.87
3723,2402,52.65
3723,3724,517.71
3723,3725,1273.88
3723,3726,174.64
3724,2400,284.16
3724,2401,29.42
3724,2402,433.1
3724,3723,1155.27
3724,3726,98.22
3725,2400,79.28
3725,2401,17.46
3725,2402,73.27
3725,3723,1069.8
3725,3726,422.62
3726,2400,416.63
3726,2401,28.53
3726,2402,116.39
3726,3723,160.74
3726,3724,143.15
3726,3725,755.41
o_zone_id,d_zone_id,volume
2400,2400,218.56
2400,2401,2.68
2400,2402,18.4
2400,3723,81.95
2400,3724,161.49
2400,3725,72.35
2400,3726,204.07
2401,2400,2.81
2401,2401,12.23
2401,2402,6.36
2401,3723,12.7
2401,3724,18.56
2401,3725,16.88
2401,3726,18.11
2402,2400,19.52
2402,2401,6.25
2402,2402,171.11
2402,3723,56.09
2402,3724,199.11
2402,3725,75.95
2402,3726,137.17
3723,2400,100.67
3723,2401,15.87
3723,2402,52.65
3723,3724,517.71
3723,3725,1273.88
3723,3726,174.64
3724,2400,284.16
3724,2401,29.42
3724,2402,433.1
3724,3723,1155.27
3724,3726,98.22
3725,2400,79.28
3725,2401,17.46
3725,2402,73.27
3725,3723,1069.8
3725,3726,422.62
3726,2400,416.63
3726,2401,28.53
3726,2402,116.39
3726,3723,160.74
3726,3724,143.15
3726,3725,755.41
o_zone_id,d_zone_id,volume
2400,2400,218.56
2400,2401,2.68
2400,2402,18.4
2400,3723,81.95
2400,3724,161.49
2400,3725,72.35
2400,3726,204.07
2401,2400,2.81
2401,2401,12.23
2401,2402,6.36
2401,3723,12.7
2401,3724,18.56
2401,3725,16.88
2401,3726,18.11
2402,2400,19.52
2402,2401,6.25
2402,2402,171.11
2402,3723,56.09
2402,3724,199.11
2402,3725,75.95
2402,3726,137.17
3723,2400,100.67
3723,2401,15.87
3723,2402,52.65
3723,3724,517.71
3723,3725,1273.88
3723,3726,174.64
3724,2400,284.16
3724,2401,29.42
3724,2402,433.1
3724,3723,1155.27
3724,3726,98.22
3725,2400,79.28
3725,2401,17.46
3725,2402,73.27
3725,3723,1069.8
3725,3726,422.62
3726,2400,416.63
3726,2401,28.53
3726,2402,116.39
3726,3723,160.74
3726,3724,143.15
3726,3725,755.41
