o_zone_id,d_zone_id,volume
2400,2401,0.16
2400,2402,0.73
2400,3723,22.39
2400,3724,30.99
2400,3725,12.29
2400,3726,19.41
2401,2400,0.17
2401,2402,0.17
2401,3723,2.73
2401,3724,4.21
2401,3725,3.14
2401,3726,2.14
2402,2400,0.66
2402,2401,0.17
2402,3723,12.03
2402,3724,38.72
2402,3725,14.41
2402,3726,11.19
3723,2400,24.85
3723,2401,2.65
3723,2402,13.71
3723,3724,116.85
3723,3725,351.53
3723,3726,22.64
3724,2400,30.39
3724,2402,36.88
3724,3723,115.65
3724,3726,11.09
3725,2400,12.23
3725,2401,7.66
3725,2402,13.9
3725,3723,349.93
3725,3726,95.33
3726,2400,18.51
3726,2401,1.91
3726,2402,10.41
3726,3723,26.12
3726,3724,12.27
3726,3725,67.75
o_zone_id,d_zone_id,volume
2400,2401,0.16
2400,2402,0.73
2400,3723,22.39
2400,3724,30.99
2400,3725,12.29
2400,3726,19.41
2401,2400,0.17
2401,2402,0.17
2401,3723,2.73
2401,3724,4.21
2401,3725,3.14
2401,3726,2.14
2402,2400,0.66
2402,2401,0.17
2402,3723,12.03
2402,3724,38.72
2402,3725,14.41
2402,3726,11.19
3723,2400,24.85
3723,2401,2.65
3723,2402,13.71
3723,3724,116.85
3723,3725,351.53
3723,3726,22.64
3724,2400,30.39
3724,2402,36.88
3724,3723,115.65
3724,3726,11.09
3725,2400,12.23
3725,2401,7.66
3725,2402,13.9
3725,3723,349.93
3725,3726,95.33
3726,2400,18.51
3726,2401,1.91
3726,2402,10.41
3726,3723,26.12
3726,3724,12.27
3726,3725,67.75
o_zone_id,d_zone_id,volume
2400,2401,0.16
2400,2402,0.73
2400,3723,22.39
2400,3724,30.99
2400,3725,12.29
2400,3726,19.41
2401,2400,0.17
2401,2402,0.17
2401,3723,2.73
2401,3724,4.21
2401,3725,3.14
2401,3726,2.14
2402,2400,0.66
2402,2401,0.17
2402,3723,12.03
2402,3724,38.72
2402,3725,14.41
2402,3726,11.19
3723,2400,24.85
3723,2401,2.65
3723,2402,13.71
3723,3724,116.85
3723,3725,351.53
3723,3726,22.64
3724,2400,30.39
3724,2402,36.88
3724,3723,115.65
3724,3726,11.09
3725,2400,12.23
3725,2401,7.66
3725,2402,13.9
3725,3723,349.93
3725,3726,95.33
3726,2400,18.51
3726,2401,1.91
3726,2402,10.41
3726,3723,26.12
3726,3724,12.27
3726,3725,67.75
o_zone_id,d_zone_id,volume
2400,2401,0.16
2400,2402,0.73
2400,3723,22.39
2400,3724,30.99
2400,3725,12.29
2400,3726,19.41
2401,2400,0.17
2401,2402,0.17
2401,3723,2.73
2401,3724,4.21
2401,3725,3.14
2401,3726,2.14
2402,2400,0.66
2402,2401,0.17
2402,3723,12.03
2402,3724,38.72
2402,3725,14.41
2402,3726,11.19
3723,2400,24.85
3723,2401,2.65
3723,2402,13.71
3723,3724,116.85
3723,3725,351.53
3723,3726,22.64
3724,2400,30.39
3724,2402,36.88
3724,3723,115.65
3724,3726,11.09
3725,2400,12.23
3725,2401,7.66
3725,2402,13.9
3725,3723,349.93
3725,3726,95.33
3726,2400,18.51
3726,2401,1.91
3726,2402,10.41
3726,3723,26.12
3726,3724,12.27
3726,3725,67.75
