o_zone_id,d_zone_id,volume
2400,2401,0.07
2400,2402,0.32
2400,3723,9.04
2400,3724,12.11
2400,3725,4.94
2400,3726,9.26
2401,2400,0.07
2401,2402,0.07
2401,3723,0.97
2401,3724,1.62
2401,3725,1.13
2401,3726,0.99
2402,2400,0.29
2402,2401,0.07
2402,3723,5.55
2402,3724,13.88
2402,3725,5.65
2402,3726,5.66
3723,2400,9.21
3723,2401,0.95
3723,2402,5.01
3723,3724,54.72
3723,3725,107.17
3723,3726,13.84
3724,2400,12.52
3724,2401,1.67
3724,2402,15.1
3724,3723,75.55
3724,3726,8.06
3725,2400,4.85
3725,2401,1.19
3725,2402,5.68
3725,3723,103.07
3725,3726,46.76
3726,2400,8.99
3726,2401,0.9
3726,2402,4.68
3726,3723,14.86
3726,3724,10.6
3726,3725,47.92
o_zone_id,d_zone_id,volume
2400,2401,0.07
2400,2402,0.32
2400,3723,9.04
2400,3724,12.11
2400,3725,4.94
2400,3726,9.26
2401,2400,0.07
2401,2402,0.07
2401,3723,0.97
2401,3724,1.62
2401,3725,1.13
2401,3726,0.99
2402,2400,0.29
2402,2401,0.07
2402,3723,5.55
2402,3724,13.88
2402,3725,5.65
2402,3726,5.66
3723,2400,9.21
3723,2401,0.95
3723,2402,5.01
3723,3724,54.72
3723,3725,107.17
3723,3726,13.84
3724,2400,12.52
3724,2401,1.67
3724,2402,15.1
3724,3723,75.55
3724,3726,8.06
3725,2400,4.85
3725,2401,1.19
3725,2402,5.68
3725,3723,103.07
3725,3726,46.76
3726,2400,8.99
3726,2401,0.9
3726,2402,4.68
3726,3723,14.86
3726,3724,10.6
3726,3725,47.92
o_zone_id,d_zone_id,volume
2400,2401,0.07
2400,2402,0.32
2400,3723,9.04
2400,3724,12.11
2400,3725,4.94
2400,3726,9.26
2401,2400,0.07
2401,2402,0.07
2401,3723,0.97
2401,3724,1.62
2401,3725,1.13
2401,3726,0.99
2402,2400,0.29
2402,2401,0.07
2402,3723,5.55
2402,3724,13.88
2402,3725,5.65
2402,3726,5.66
3723,2400,9.21
3723,2401,0.95
3723,2402,5.01
3723,3724,54.72
3723,3725,107.17
3723,3726,13.84
3724,2400,12.52
3724,2401,1.67
3724,2402,15.1
3724,3723,75.55
3724,3726,8.06
3725,2400,4.85
3725,2401,1.19
3725,2402,5.68
3725,3723,103.07
3725,3726,46.76
3726,2400,8.99
3726,2401,0.9
3726,2402,4.68
3726,3723,14.86
3726,3724,10.6
3726,3725,47.92
o_zone_id,d_zone_id,volume
2400,2401,0.07
2400,2402,0.32
2400,3723,9.04
2400,3724,12.11
2400,3725,4.94
2400,3726,9.26
2401,2400,0.07
2401,2402,0.07
2401,3723,0.97
2401,3724,1.62
2401,3725,1.13
2401,3726,0.99
2402,2400,0.29
2402,2401,0.07
2402,3723,5.55
2402,3724,13.88
2402,3725,5.65
2402,3726,5.66
3723,2400,9.21
3723,2401,0.95
3723,2402,5.01
3723,3724,54.72
3723,3725,107.17
3723,3726,13.84
3724,2400,12.52
3724,2401,1.67
3724,2402,15.1
3724,3723,75.55
3724,3726,8.06
3725,2400,4.85
3725,2401,1.19
3725,2402,5.68
3725,3723,103.07
3725,3726,46.76
3726,2400,8.99
3726,2401,0.9
3726,2402,4.68
3726,3723,14.86
3726,3724,10.6
3726,3725,47.92
