node_id,x_coord,y_coord,centroid,zone_id,geometry
2400,-77.593115,38.916173,,2400,POINT (-77.593115 38.916173)
38489,-77.607979,38.937693,,,POINT (-77.607979 38.937693)
2401,-77.634111,38.951535,,2401,POINT (-77.634111 38.951535)
38112,-77.622328,38.955522,,,POINT (-77.622328 38.955522)
2402,-77.600503,38.950677,,2402,POINT (-77.600503 38.950677)
38491,-77.584346,38.947135,,,POINT (-77.584346 38.947135)
55001,-77.611957,38.944155,,,POINT (-77.611957 38.944155)
3723,-77.625038,38.931782,,3723,POINT (-77.625038 38.931782)
38488,-77.624237,38.936613,,,POINT (-77.62423699999999 38.936613)
3724,-77.580048,38.953013,,3724,POINT (-77.58004800000001 38.953013)
3725,-77.622657,38.969132,,3725,POINT (-77.622657 38.969132)
3726,-77.590441,38.930341,,3726,POINT (-77.590441 38.930341)
38490,-77.606145,38.937861,,,POINT (-77.606145 38.937861)
