o_zone_id,d_zone_id,volume
2400,3724,6.4
2400,3726,0.98
2401,3724,1.32
2401,3726,0.2
2402,3724,5.59
3723,3724,12.46
3724,2400,6.67
3724,2402,5.59
3724,3723,12.46
3725,2401,1.43
3726,2400,0.71
3726,2401,0.09
o_zone_id,d_zone_id,volume
2400,3724,6.4
2400,3726,0.98
2401,3724,1.32
2401,3726,0.2
2402,3724,5.59
3723,3724,12.46
3724,2400,6.67
3724,2402,5.59
3724,3723,12.46
3725,2401,1.43
3726,2400,0.71
3726,2401,0.09
o_zone_id,d_zone_id,volume
2400,3724,6.4
2400,3726,0.98
2401,3724,1.32
2401,3726,0.2
2402,3724,5.59
3723,3724,12.46
3724,2400,6.67
3724,2402,5.59
3724,3723,12.46
3725,2401,1.43
3726,2400,0.71
3726,2401,0.09
