o_zone_id,d_zone_id,volume
2400,2401,0.08
2400,2402,0.25
2400,3723,6.18
2400,3724,12.48
2400,3725,5.16
2400,3726,6.33
2401,2400,0.08
2401,2402,0.08
2401,3723,2.28
2401,3725,5.46
2401,3726,0.48
2402,2400,0.24
2402,2401,0.08
2402,3723,5.76
2402,3724,15.72
2402,3725,6.36
2402,3726,3.14
3723,2400,5.88
3723,2401,2.12
3723,2402,5.46
3723,3724,43.47
3723,3725,144.44
3723,3726,11.09
3724,2400,12.73
3724,2402,16.45
3724,3723,44.99
3724,3726,3.39
3725,2400,5.37
3725,2401,5.51
3725,2402,6.39
3725,3723,153.97
3725,3726,9.32
3726,2400,6.24
3726,2401,0.49
3726,2402,3.32
3726,3723,11.55
3726,3724,4.27
3726,3725,9.17
o_zone_id,d_zone_id,volume
2400,2401,0.08
2400,2402,0.25
2400,3723,6.18
2400,3724,12.48
2400,3725,5.16
2400,3726,6.33
2401,2400,0.08
2401,2402,0.08
2401,3723,2.28
2401,3725,5.46
2401,3726,0.48
2402,2400,0.24
2402,2401,0.08
2402,3723,5.76
2402,3724,15.72
2402,3725,6.36
2402,3726,3.14
3723,2400,5.88
3723,2401,2.12
3723,2402,5.46
3723,3724,43.47
3723,3725,144.44
3723,3726,11.09
3724,2400,12.73
3724,2402,16.45
3724,3723,44.99
3724,3726,3.39
3725,2400,5.37
3725,2401,5.51
3725,2402,6.39
3725,3723,153.97
3725,3726,9.32
3726,2400,6.24
3726,2401,0.49
3726,2402,3.32
3726,3723,11.55
3726,3724,4.27
3726,3725,9.17
o_zone_id,d_zone_id,volume
2400,2401,0.08
2400,2402,0.25
2400,3723,6.18
2400,3724,12.48
2400,3725,5.16
2400,3726,6.33
2401,2400,0.08
2401,2402,0.08
2401,3723,2.28
2401,3725,5.46
2401,3726,0.48
2402,2400,0.24
2402,2401,0.08
2402,3723,5.76
2402,3724,15.72
2402,3725,6.36
2402,3726,3.14
3723,2400,5.88
3723,2401,2.12
3723,2402,5.46
3723,3724,43.47
3723,3725,144.44
3723,3726,11.09
3724,2400,12.73
3724,2402,16.45
3724,3723,44.99
3724,3726,3.39
3725,2400,5.37
3725,2401,5.51
3725,2402,6.39
3725,3723,153.97
3725,3726,9.32
3726,2400,6.24
3726,2401,0.49
3726,2402,3.32
3726,3723,11.55
3726,3724,4.27
3726,3725,9.17
