o_zone_id,d_zone_id,volume
2400,2401,0.16
2400,2402,0.53
2400,3723,11.46
2400,3724,23.77
2400,3725,11.06
2400,3726,19.13
2401,2400,0.16
2401,2402,0.17
2401,3723,4.12
2401,3724,6.15
2401,3725,4.69
2401,3726,3.9
2402,2400,0.49
2402,2401,0.17
2402,3723,11.49
2402,3724,29.64
2402,3725,13.17
2402,3726,13.0
3723,2400,10.48
3723,2401,3.78
3723,2402,9.61
3723,3724,142.13
3723,3725,264.99
3723,3726,30.34
3724,2400,24.36
3724,2401,5.45
3724,2402,36.15
3724,3723,192.94
3724,3726,14.84
3725,2400,10.97
3725,2401,5.85
3725,2402,13.12
3725,3723,299.47
3725,3726,77.18
3726,2400,18.84
3726,2401,3.53
3726,2402,8.58
3726,3723,33.13
3726,3724,18.71
3726,3725,82.74
o_zone_id,d_zone_id,volume
2400,2401,0.16
2400,2402,0.53
2400,3723,11.46
2400,3724,23.77
2400,3725,11.06
2400,3726,19.13
2401,2400,0.16
2401,2402,0.17
2401,3723,4.12
2401,3724,6.15
2401,3725,4.69
2401,3726,3.9
2402,2400,0.49
2402,2401,0.17
2402,3723,11.49
2402,3724,29.64
2402,3725,13.17
2402,3726,13.0
3723,2400,10.48
3723,2401,3.78
3723,2402,9.61
3723,3724,142.13
3723,3725,264.99
3723,3726,30.34
3724,2400,24.36
3724,2401,5.45
3724,2402,36.15
3724,3723,192.94
3724,3726,14.84
3725,2400,10.97
3725,2401,5.85
3725,2402,13.12
3725,3723,299.47
3725,3726,77.18
3726,2400,18.84
3726,2401,3.53
3726,2402,8.58
3726,3723,33.13
3726,3724,18.71
3726,3725,82.74
o_zone_id,d_zone_id,volume
2400,2401,0.16
2400,2402,0.53
2400,3723,11.46
2400,3724,23.77
2400,3725,11.06
2400,3726,19.13
2401,2400,0.16
2401,2402,0.17
2401,3723,4.12
2401,3724,6.15
2401,3725,4.69
2401,3726,3.9
2402,2400,0.49
2402,2401,0.17
2402,3723,11.49
2402,3724,29.64
2402,3725,13.17
2402,3726,13.0
3723,2400,10.48
3723,2401,3.78
3723,2402,9.61
3723,3724,142.13
3723,3725,264.99
3723,3726,30.34
3724,2400,24.36
3724,2401,5.45
3724,2402,36.15
3724,3723,192.94
3724,3726,14.84
3725,2400,10.97
3725,2401,5.85
3725,2402,13.12
3725,3723,299.47
3725,3726,77.18
3726,2400,18.84
3726,2401,3.53
3726,2402,8.58
3726,3723,33.13
3726,3724,18.71
3726,3725,82.74
