o_zone_id,d_zone_id,volume
2400,2400,142.44
2400,2401,1.38
2400,2402,8.96
2400,3723,26.93
2400,3724,69.13
2400,3725,24.27
2400,3726,60.68
2401,2400,1.37
2401,2401,6.68
2401,2402,3.02
2401,3723,5.26
2401,3724,8.84
2401,3725,7.84
2401,3726,6.49
2402,2400,8.83
2402,2401,3.11
2402,2402,98.11
2402,3723,15.82
2402,3724,82.82
2402,3725,24.74
2402,3726,37.96
3723,2400,25.05
3723,2401,4.73
3723,2402,15.13
3723,3724,134.5
3723,3725,207.95
3723,3726,40.29
3724,2400,61.76
3724,2402,76.17
3724,3723,105.55
3724,3726,38.57
3725,2400,25.46
3725,2401,16.75
3725,2402,26.13
3725,3723,205.63
3725,3726,117.86
3726,2400,57.32
3726,2401,6.04
3726,2402,37.49
3726,3723,46.61
3726,3724,46.06
3726,3725,93.25
o_zone_id,d_zone_id,volume
2400,2400,142.44
2400,2401,1.38
2400,2402,8.96
2400,3723,26.93
2400,3724,69.13
2400,3725,24.27
2400,3726,60.68
2401,2400,1.37
2401,2401,6.68
2401,2402,3.02
2401,3723,5.26
2401,3724,8.84
2401,3725,7.84
2401,3726,6.49
2402,2400,8.83
2402,2401,3.11
2402,2402,98.11
2402,3723,15.82
2402,3724,82.82
2402,3725,24.74
2402,3726,37.96
3723,2400,25.05
3723,2401,4.73
3723,2402,15.13
3723,3724,134.5
3723,3725,207.95
3723,3726,40.29
3724,2400,61.76
3724,2402,76.17
3724,3723,105.55
3724,3726,38.57
3725,2400,25.46
3725,2401,16.75
3725,2402,26.13
3725,3723,205.63
3725,3726,117.86
3726,2400,57.32
3726,2401,6.04
3726,2402,37.49
3726,3723,46.61
3726,3724,46.06
3726,3725,93.25
o_zone_id,d_zone_id,volume
2400,2400,142.44
2400,2401,1.38
2400,2402,8.96
2400,3723,26.93
2400,3724,69.13
2400,3725,24.27
2400,3726,60.68
2401,2400,1.37
2401,2401,6.68
2401,2402,3.02
2401,3723,5.26
2401,3724,8.84
2401,3725,7.84
2401,3726,6.49
2402,2400,8.83
2402,2401,3.11
2402,2402,98.11
2402,3723,15.82
2402,3724,82.82
2402,3725,24.74
2402,3726,37.96
3723,2400,25.05
3723,2401,4.73
3723,2402,15.13
3723,3724,134.5
3723,3725,207.95
3723,3726,40.29
3724,2400,61.76
3724,2402,76.17
3724,3723,105.55
3724,3726,38.57
3725,2400,25.46
3725,2401,16.75
3725,2402,26.13
3725,3723,205.63
3725,3726,117.86
3726,2400,57.32
3726,2401,6.04
3726,2402,37.49
3726,3723,46.61
3726,3724,46.06
3726,3725,93.25
