o_zone_id,d_zone_id,volume
2400,2400,115.39
2400,2401,1.02
2400,2402,7.16
2400,3723,18.23
2400,3724,47.03
2400,3725,21.77
2400,3726,45.4
2401,2400,1.05
2401,2401,4.75
2401,2402,2.35
2401,3723,3.28
2401,3725,11.62
2401,3726,3.9
2402,2400,7.39
2402,2401,2.28
2402,2402,77.02
2402,3723,11.14
2402,3724,57.03
2402,3725,21.64
2402,3726,31.28
3723,2400,27.2
3723,2401,4.4
3723,2402,15.89
3723,3724,65.59
3723,3725,278.8
3723,3726,45.94
3724,2400,58.66
3724,2402,68.6
3724,3723,82.76
3724,3726,35.49
3725,2400,19.41
3725,2401,12.47
3725,2402,19.52
3725,3723,224.6
3725,3726,43.17
3726,2400,49.49
3726,2401,3.62
3726,2402,30.05
3726,3723,34.59
3726,3724,32.81
3726,3725,44.62
o_zone_id,d_zone_id,volume
2400,2400,115.39
2400,2401,1.02
2400,2402,7.16
2400,3723,18.23
2400,3724,47.03
2400,3725,21.77
2400,3726,45.4
2401,2400,1.05
2401,2401,4.75
2401,2402,2.35
2401,3723,3.28
2401,3725,11.62
2401,3726,3.9
2402,2400,7.39
2402,2401,2.28
2402,2402,77.02
2402,3723,11.14
2402,3724,57.03
2402,3725,21.64
2402,3726,31.28
3723,2400,27.2
3723,2401,4.4
3723,2402,15.89
3723,3724,65.59
3723,3725,278.8
3723,3726,45.94
3724,2400,58.66
3724,2402,68.6
3724,3723,82.76
3724,3726,35.49
3725,2400,19.41
3725,2401,12.47
3725,2402,19.52
3725,3723,224.6
3725,3726,43.17
3726,2400,49.49
3726,2401,3.62
3726,2402,30.05
3726,3723,34.59
3726,3724,32.81
3726,3725,44.62
o_zone_id,d_zone_id,volume
2400,2400,115.39
2400,2401,1.02
2400,2402,7.16
2400,3723,18.23
2400,3724,47.03
2400,3725,21.77
2400,3726,45.4
2401,2400,1.05
2401,2401,4.75
2401,2402,2.35
2401,3723,3.28
2401,3725,11.62
2401,3726,3.9
2402,2400,7.39
2402,2401,2.28
2402,2402,77.02
2402,3723,11.14
2402,3724,57.03
2402,3725,21.64
2402,3726,31.28
3723,2400,27.2
3723,2401,4.4
3723,2402,15.89
3723,3724,65.59
3723,3725,278.8
3723,3726,45.94
3724,2400,58.66
3724,2402,68.6
3724,3723,82.76
3724,3726,35.49
3725,2400,19.41
3725,2401,12.47
3725,2402,19.52
3725,3723,224.6
3725,3726,43.17
3726,2400,49.49
3726,2401,3.62
3726,2402,30.05
3726,3723,34.59
3726,3724,32.81
3726,3725,44.62
