link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,vehicle_volume,person_volume,ref_volume,ref_diff,restricted_turn_nodes,auto_turn_volume,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_lane,mu_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf_mph,v_congestion_cutoff_mph,vf_kmph,v_congestion_cutoff_kmph,QVDF_cp,QVDF_s,QVDF_v_mph,QVDF_v_kmph,vt2_mph,vt2_kmph,VMT,VKMT,VHT,PMT,PKMT,PHT,PDT_vf,PDT_vc,geometry,vehicle_vol_apv,vehicle_vol_com,vehicle_vol_hov2,vehicle_vol_hov3,vehicle_vol_sov,vehicle_vol_trk,MEU_vol_apv,MEU_vol_com,MEU_vol_hov2,MEU_vol_hov3,MEU_vol_sov,MEU_vol_trk,mode_link_cap_apv,mode_link_cap_com,mode_link_cap_hov2,mode_link_cap_hov3,mode_link_cap_sov,mode_link_cap_trk,mode_DOC_apv,mode_DOC_com,mode_DOC_hov2,mode_DOC_hov3,mode_DOC_sov,mode_DOC_trk,mode_TT_apv,mode_TT_com,mode_TT_hov2,mode_TT_hov3,mode_TT_sov,mode_TT_trk,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
1,1,qvdf,2400,38489,7.000000,2.719785,1.690357,2.897755,-1,0,,network_wide,-1,0,-1,-1,50000,c,50000,0800_0900,3502.280,4235.580,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,2.884,56.574,35.161,1.005,0.165,0.165,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,519.916,3150.000,1.004,1.202,0.027,0.000,35.000,47.868,56.315,77.019,0.200,4.000,35.161,56.574,47.868,77.019,5920.104,9525.447,168.371,7159.643,7159.643,11519.866,-0.937,54.053,"LINESTRING (-77.593115 38.916173, -77.607979 38.937693)",23.300,183.450,276.520,177.120,2704.760,137.130,23.300,183.450,276.520,177.120,2704.760,274.260,22050.000,0.000,0.000,0.000,0.000,0.000,0.165053,0.000000,0.000000,0.000000,0.000000,0.000000,2.884,0.000,0.000,0.000,0.000,0.000,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,59.863,70.506,73.860,63.411,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,,3502.280,3502.280,0.000,56.574,56.574,0.000,0.165,0.165,0.000,0.027,0.027,0.000,period-based
2,2,qvdf,2401,38112,7.000000,1.110445,0.690146,1.035219,-1,0,,network_wide,-1,0,-1,-1,60000,c,60000,0800_0900,387.600,476.540,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.035,64.364,40.002,1.000,0.018,0.018,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,58.050,3150.000,1.004,1.202,0.000,0.000,40.000,54.706,64.360,88.022,0.200,4.000,40.002,64.364,54.706,88.022,267.501,430.408,6.687,328.882,328.882,529.171,-0.000,2.210,"LINESTRING (-77.634111 38.951535, -77.622328 38.955522)",4.800,52.450,35.960,20.040,255.600,18.750,4.800,52.450,35.960,20.040,255.600,37.500,22050.000,0.000,0.000,0.000,0.000,0.000,0.018429,0.000000,0.000000,0.000000,0.000000,0.000000,1.035,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,68.305,80.140,84.082,72.250,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,387.600,387.600,0.000,64.364,64.364,0.000,0.018,0.018,0.000,0.000,0.000,0.000,period-based
3,3,qvdf,2402,38491,7.000000,1.449130,0.900640,1.543955,-1,0,,network_wide,-1,0,-1,-1,50000,c,50000,0800_0900,2169.600,2588.950,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.541,56.414,35.061,1.002,0.102,0.102,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,321.591,3150.000,1.004,1.202,0.010,0.000,35.000,47.868,56.315,77.019,0.200,4.000,35.061,56.414,47.868,77.019,1954.029,3144.033,55.732,2331.713,2331.713,3751.726,-0.117,17.792,"LINESTRING (-77.600503 38.950677, -77.584346 38.947135)",17.650,124.850,186.960,88.720,1669.880,81.540,17.650,124.850,186.960,88.720,1669.880,163.080,22050.000,0.000,0.000,0.000,0.000,0.000,0.102093,0.000000,0.000000,0.000000,0.000000,0.000000,1.541,0.000,0.000,0.000,0.000,0.000,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,59.802,70.264,73.678,63.289,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,,2169.600,2169.600,0.000,56.414,56.414,0.000,0.102,0.102,0.000,0.010,0.010,0.000,period-based
4,4,qvdf,2402,55001,7.000000,1.256589,0.780975,1.338814,-1,0,,network_wide,-1,0,-1,-1,50000,c,50000,0800_0900,507.940,674.160,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.339,56.321,35.004,1.000,0.025,0.025,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,78.254,3150.000,1.004,1.202,0.001,0.000,35.000,47.868,56.315,77.019,0.200,4.000,35.004,56.321,47.868,77.019,396.688,638.272,11.333,526.502,526.502,847.142,-0.002,4.042,"LINESTRING (-77.600503 38.950677, -77.611957 38.944155)",0.000,62.900,46.120,48.040,311.040,39.840,0.000,62.900,46.120,48.040,311.040,79.680,22050.000,0.000,0.000,0.000,0.000,0.000,0.024843,0.000000,0.000000,0.000000,0.000000,0.000000,1.339,0.000,0.000,0.000,0.000,0.000,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,59.768,70.126,73.575,63.221,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,,507.940,507.940,0.000,56.321,56.321,0.000,0.025,0.025,0.000,0.001,0.001,0.000,period-based
5,5,qvdf,3723,38488,1.000000,0.547176,0.340072,0.392391,-1,0,,network_wide,-1,0,-1,-1,60300,a,60300,0800_0900,11367.280,12299.061,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,0.365,0.227,0.004,9.990,9.990,900.000,900.000,0.000,0.000,0.000,1.000,1.000,12342.640,773.249,1.004,1.202,15.962,1.083,52.000,71.118,83.668,114.429,0.200,4.000,0.010,0.017,0.005,0.009,3865.692,6219.898,17050.920,4182.564,4182.564,6729.746,18368.156,18389.779,"LINESTRING (-77.625038 38.931782, -77.624237 38.936613)",96.100,1367.100,516.520,143.040,8269.160,975.360,96.100,1367.100,516.520,143.040,8269.160,1950.720,900.000,0.000,0.000,0.000,0.000,0.000,9.990000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,,11367.280,11367.280,0.000,0.365,0.365,0.000,9.990,9.990,0.000,15.962,15.962,0.000,period-based
6,6,qvdf,3724,38491,1.000000,0.820763,0.510108,0.765162,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,0800_0900,4010.210,4986.920,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,0.547,0.340,0.009,5.451,5.451,800.000,800.000,0.000,0.000,0.000,1.000,1.000,4360.640,565.761,1.004,1.202,7.708,1.083,40.000,54.706,64.360,88.022,0.200,4.000,0.137,0.221,0.077,0.125,2045.639,3291.434,6015.315,2543.867,2543.867,4093.082,7416.783,7433.879,"LINESTRING (-77.580048 38.953013, -77.584346 38.947135)",79.650,617.650,355.720,229.280,2377.480,350.430,79.650,617.650,355.720,229.280,2377.480,700.860,800.000,0.000,0.000,0.000,0.000,0.000,5.450800,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,4010.210,4010.210,0.000,0.547,0.547,0.000,5.451,5.451,0.000,7.708,7.708,0.000,period-based
7,7,qvdf,3725,38112,1.000000,1.512780,0.940199,1.084845,-1,0,,network_wide,-1,0,-1,-1,60300,a,60300,0800_0900,9545.630,11143.110,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.009,0.627,0.012,9.990,9.990,900.000,900.000,0.000,0.000,0.000,1.000,1.000,10307.030,645.721,1.004,1.202,15.962,1.083,52.000,71.118,83.668,114.429,0.200,4.000,0.010,0.017,0.005,0.009,8974.788,14440.434,14318.445,10476.737,10476.737,16857.070,16513.189,16567.350,"LINESTRING (-77.622657 38.969132, -77.622328 38.955522)",0.000,1093.350,663.880,373.440,6653.560,761.400,0.000,1093.350,663.880,373.440,6653.560,1522.800,900.000,0.000,0.000,0.000,0.000,0.000,9.990000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,,9545.630,9545.630,0.000,1.009,1.009,0.000,9.990,9.990,0.000,15.962,15.962,0.000,period-based
8,8,qvdf,3726,38490,1.000000,1.609340,1.000211,1.500317,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,0800_0900,3662.060,4425.990,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.073,0.667,0.017,5.013,5.013,800.000,800.000,0.000,0.000,0.000,1.000,1.000,4010.240,575.401,1.004,1.202,6.969,1.083,40.000,54.706,64.360,88.022,0.200,4.000,0.203,0.327,0.116,0.186,3662.834,5893.500,5493.090,4426.925,4426.925,7122.923,6528.312,6558.063,"LINESTRING (-77.590441 38.930341, -77.606145 38.937861)",5.450,432.950,361.360,159.720,2354.400,348.180,5.450,432.950,361.360,159.720,2354.400,696.360,800.000,0.000,0.000,0.000,0.000,0.000,5.012800,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,3662.060,3662.060,0.000,1.073,1.073,0.000,5.013,5.013,0.000,6.969,6.969,0.000,period-based
9,9,qvdf,38112,2401,7.000000,1.110445,0.690146,1.035219,-1,0,,network_wide,-1,0,-1,-1,60000,c,60000,0800_0900,262.130,321.170,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.035,64.362,40.001,1.000,0.013,0.013,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,40.181,3150.000,1.004,1.202,0.000,0.000,40.000,54.706,64.360,88.022,0.200,4.000,40.001,64.362,54.706,88.022,180.908,291.081,4.523,221.654,221.654,356.642,-0.000,1.489,"LINESTRING (-77.622328 38.955522, -77.634111 38.951535)",4.800,53.550,27.760,11.360,145.520,19.140,4.800,53.550,27.760,11.360,145.520,38.280,22050.000,0.000,0.000,0.000,0.000,0.000,0.012756,0.000000,0.000000,0.000000,0.000000,0.000000,1.035,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,68.304,80.137,84.080,72.249,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,262.130,262.130,0.000,64.362,64.362,0.000,0.013,0.013,0.000,0.000,0.000,0.000,period-based
10,10,qvdf,38112,3725,1.000000,1.512780,0.940199,1.084845,-1,0,,network_wide,-1,0,-1,-1,60300,a,60300,0800_0900,6353.790,6945.900,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.009,0.627,0.012,7.907,7.907,900.000,900.000,0.000,0.000,0.000,1.000,1.000,7115.910,590.482,1.004,1.202,12.051,1.083,52.000,71.118,83.668,114.429,0.200,4.000,0.031,0.050,0.017,0.027,5973.825,9611.884,9530.686,6530.525,6530.525,10507.615,10293.263,10327.023,"LINESTRING (-77.622328 38.955522, -77.622657 38.969132)",0.450,1031.900,309.240,113.040,4137.040,762.120,0.450,1031.900,309.240,113.040,4137.040,1524.240,900.000,0.000,0.000,0.000,0.000,0.000,7.906567,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,,6353.790,6353.790,0.000,1.009,1.009,0.000,7.907,7.907,0.000,12.051,12.051,0.000,period-based
