iteration_no,link_id,from_node_id,to_node_id,volume,travel_time
0,1,2400,38489,0,2.89776
0,2,2401,38112,0,1.03522
0,3,2402,38491,0,1.54395
0,4,2402,55001,0,1.33881
0,5,3723,38488,0,0.392391
0,6,3724,38491,0,0.765162
0,7,3725,38112,0,1.08484
0,8,3726,38490,0,1.50032
0,9,38112,2401,0,1.03522
0,10,38112,3725,0,1.08484
0,11,38112,38488,0,1.51186
0,12,38112,55001,0,1.48464
0,13,38488,3723,0,0.392391
0,14,38488,38112,0,1.51186
0,15,38488,38489,0,1.32028
0,16,38489,2400,0,2.89776
0,17,38489,38488,0,1.32028
0,18,38489,38490,0,0.150032
0,19,38490,3726,0,1.50032
0,20,38490,38489,0,0.150032
0,21,38490,38491,0,2.31049
0,22,38490,55001,0,0.825474
0,23,38491,2402,0,1.54395
0,24,38491,3724,0,0.765162
0,25,38491,38490,0,2.31049
0,26,55001,2402,0,1.33881
0,27,55001,38112,0,1.48464
0,28,55001,38490,0,0.825474
0,1,2400,38489,2763.57,2.89161
0,2,2401,38112,422.85,1.03517
0,3,2402,38491,1801.68,1.54256
0,4,2402,55001,728.13,1.33862
0,5,3723,38488,10634.7,90
0,6,3724,38491,9056.85,90
0,7,3725,38112,8481.66,90
0,8,3726,38490,7367.37,90
0,9,38112,2401,505.83,1.03515
0,10,38112,3725,10295,90
0,11,38112,38488,6128.73,90
0,12,38112,55001,3125.67,90
0,13,38488,3723,12246.8,90
0,14,38488,38112,6736.71,90
0,15,38488,38489,4706.97,90
0,16,38489,2400,3908.61,2.88546
0,17,38489,38488,6927.06,90
0,18,38489,38490,5761.62,90
0,19,38490,3726,5424.24,90
0,20,38490,38489,9126.75,90
0,21,38490,38491,5314.86,90
0,22,38490,55001,3686.88,90
0,23,38491,2402,2492.4,1.54129
0,24,38491,3724,5700.81,90
0,25,38491,38490,7980.18,90
0,26,55001,2402,683.13,1.33864
0,27,55001,38112,4413.99,90
0,28,55001,38490,2443.56,17.2229
1,1,2400,38489,1381.79,2.89622
1,2,2401,38112,211.425,1.03521
1,3,2402,38491,900.84,1.54361
1,4,2402,55001,364.065,1.33876
1,5,3723,38488,5317.34,90
1,6,3724,38491,4528.43,90
1,7,3725,38112,4240.83,90
1,8,3726,38490,3683.68,90
1,9,38112,2401,252.915,1.0352
1,10,38112,3725,5147.49,90
1,11,38112,38488,3064.36,50.6738
1,12,38112,55001,1562.84,5.10277
1,13,38488,3723,6123.39,90
1,14,38488,38112,3368.36,76.9026
1,15,38488,38489,2353.49,23.4214
1,16,38489,2400,1954.31,2.89468
1,17,38489,38488,3463.53,90
1,18,38489,38490,2880.81,6.43542
1,19,38490,3726,2712.12,49.3406
1,20,38490,38489,4563.38,50.0139
1,21,38490,38491,2657.43,69.4901
1,22,38490,55001,1843.44,5.29206
1,23,38491,2402,1246.2,1.54329
1,24,38491,3724,2850.41,31.3196
1,25,38491,38490,3990.09,90
1,26,55001,2402,341.565,1.33877
1,27,55001,38112,2206.99,20.0074
1,28,55001,38490,1221.78,1.34302
1,1,2400,38489,2763.57,2.89161
1,2,2401,38112,422.85,1.03517
1,3,2402,38491,1801.68,1.54256
1,4,2402,55001,728.13,1.33862
1,5,3723,38488,10634.7,90
1,6,3724,38491,9056.85,90
1,7,3725,38112,8481.66,90
1,8,3726,38490,7367.37,90
1,9,38112,2401,505.83,1.03515
1,10,38112,3725,10295,90
1,11,38112,38488,6143.19,90
1,12,38112,55001,3125.67,90
1,13,38488,3723,12246.8,90
1,14,38488,38112,6736.71,90
1,15,38488,38489,4706.97,90
1,16,38489,2400,3908.61,2.88546
1,17,38489,38488,6912.6,90
1,18,38489,38490,5761.62,90
1,19,38490,3726,5424.24,90
1,20,38490,38489,9112.29,90
1,21,38490,38491,5314.86,90
1,22,38490,55001,3701.34,90
1,23,38491,2402,2492.4,1.54129
1,24,38491,3724,5700.81,90
1,25,38491,38490,7980.18,90
1,26,55001,2402,683.13,1.33864
1,27,55001,38112,4428.45,90
1,28,55001,38490,2443.56,17.2229
2,1,2400,38489,1842.38,2.89502
2,2,2401,38112,281.9,1.0352
2,3,2402,38491,1201.12,1.54334
2,4,2402,55001,485.42,1.33873
2,5,3723,38488,7089.78,90
2,6,3724,38491,6037.9,90
2,7,3725,38112,5654.44,90
2,8,3726,38490,4911.58,90
2,9,38112,2401,337.22,1.03519
2,10,38112,3725,6863.32,90
2,11,38112,38488,4095.46,90
2,12,38112,55001,2083.78,15.7051
2,13,38488,3723,8164.52,90
2,14,38488,38112,4491.14,90
2,15,38488,38489,3137.98,82.6877
2,16,38489,2400,2605.74,2.89229
2,17,38489,38488,4608.4,90
2,18,38489,38490,3841.08,23.1304
2,19,38490,3726,3616.16,90
2,20,38490,38489,6074.86,90
2,21,38490,38491,3543.24,90
