node_id,node_no,layer_no,MRM_gate_flag,node_type,is_boundary,#_of_outgoing_nodes,activity_node_flag,mode_type,zone_id,cell_code,info_zone_flag,x_coord,y_coord
2400,0,0,-1,,0,2,1,, 2400,,0,-77.593115,38.916173
38489,1,0,-1,,0,3,0,, -1,,0,-77.607979,38.937693
2401,2,0,-1,,0,2,1,, 2401,,0,-77.634111,38.951535
38112,3,0,-1,,0,4,0,, -1,,0,-77.622328,38.955522
2402,4,0,-1,,0,3,1,, 2402,,0,-77.600503,38.950677
38491,5,0,-1,,0,3,0,, -1,,0,-77.584346,38.947135
55001,6,0,-1,,0,3,0,, -1,,0,-77.611957,38.944155
3723,7,0,-1,,0,2,1,, 3723,,0,-77.625038,38.931782
38488,8,0,-1,,0,3,0,, -1,,0,-77.624237,38.936613
3724,9,0,-1,,0,2,1,, 3724,,0,-77.580048,38.953013
3725,10,0,-1,,0,2,1,, 3725,,0,-77.622657,38.969132
3726,11,0,-1,,0,2,1,, 3726,,0,-77.590441,38.930341
38490,12,0,-1,,0,4,0,, -1,,0,-77.606145,38.937861
