o_zone_id,d_zone_id,volume
2400,2400,380.21
2400,2401,4.82
2400,2402,31.11
2400,3723,146.72
2400,3724,318.47
2400,3725,100.17
2400,3726,393.39
2401,2400,4.68
2401,2401,23.0
2401,2402,10.87
2401,3723,20.6
2401,3724,34.83
2401,3725,25.97
2401,3726,30.16
2402,2400,30.46
2402,2401,11.12
2402,2402,288.42
2402,3723,80.61
2402,3724,437.93
2402,3725,98.66
2402,3726,151.86
3723,2400,136.83
3723,2401,17.82
3723,2402,80.9
3723,3724,626.51
3723,3725,1151.35
3723,3726,136.92
3724,2400,253.43
3724,2402,351.32
3724,3723,501.71
3724,3726,110.36
3725,2400,94.2
3725,2401,59.14
3725,2402,97.6
3725,3723,1304.28
3725,3726,527.93
3726,2400,284.47
3726,2401,24.41
3726,2402,132.75
3726,3723,161.96
3726,3724,138.26
3726,3725,398.54
o_zone_id,d_zone_id,volume
2400,2400,380.21
2400,2401,4.82
2400,2402,31.11
2400,3723,146.72
2400,3724,318.47
2400,3725,100.17
2400,3726,393.39
2401,2400,4.68
2401,2401,23.0
2401,2402,10.87
2401,3723,20.6
2401,3724,34.83
2401,3725,25.97
2401,3726,30.16
2402,2400,30.46
2402,2401,11.12
2402,2402,288.42
2402,3723,80.61
2402,3724,437.93
2402,3725,98.66
2402,3726,151.86
3723,2400,136.83
3723,2401,17.82
3723,2402,80.9
3723,3724,626.51
3723,3725,1151.35
3723,3726,136.92
3724,2400,253.43
3724,2402,351.32
3724,3723,501.71
3724,3726,110.36
3725,2400,94.2
3725,2401,59.14
3725,2402,97.6
3725,3723,1304.28
3725,3726,527.93
3726,2400,284.47
3726,2401,24.41
3726,2402,132.75
3726,3723,161.96
3726,3724,138.26
3726,3725,398.54
o_zone_id,d_zone_id,volume
2400,2400,380.21
2400,2401,4.82
2400,2402,31.11
2400,3723,146.72
2400,3724,318.47
2400,3725,100.17
2400,3726,393.39
2401,2400,4.68
2401,2401,23.0
2401,2402,10.87
2401,3723,20.6
2401,3724,34.83
2401,3725,25.97
2401,3726,30.16
2402,2400,30.46
2402,2401,11.12
2402,2402,288.42
2402,3723,80.61
2402,3724,437.93
2402,3725,98.66
2402,3726,151.86
3723,2400,136.83
3723,2401,17.82
3723,2402,80.9
3723,3724,626.51
3723,3725,1151.35
3723,3726,136.92
3724,2400,253.43
3724,2402,351.32
3724,3723,501.71
3724,3726,110.36
3725,2400,94.2
3725,2401,59.14
3725,2402,97.6
3725,3723,1304.28
3725,3726,527.93
3726,2400,284.47
3726,2401,24.41
3726,2402,132.75
3726,3723,161.96
3726,3724,138.26
3726,3725,398.54
