o_zone_id,d_zone_id,volume
2400,2401,0.09
2400,2402,0.4
2400,3723,11.54
2400,3724,15.25
2400,3725,6.37
2400,3726,12.06
2401,2400,0.09
2401,2402,0.09
2401,3723,1.24
2401,3724,1.98
2401,3725,1.48
2401,3726,1.37
2402,2400,0.36
2402,2401,0.09
2402,3723,6.31
2402,3724,21.08
2402,3725,6.88
2402,3726,5.74
3723,2400,10.78
3723,2401,1.34
3723,2402,7.24
3723,3724,126.89
3723,3725,172.91
3723,3726,5.96
3724,2400,15.78
3724,2401,2.1
3724,2402,18.31
3724,3723,69.94
3724,3726,10.68
3725,2400,6.63
3725,2401,1.51
3725,2402,7.23
3725,3723,159.19
3725,3726,79.24
3726,2400,13.27
3726,2401,1.25
3726,2402,7.34
3726,3723,18.91
3726,3724,8.89
3726,3725,66.4
o_zone_id,d_zone_id,volume
o_zone_id,d_zone_id,volume
2400,2401,0.09
2400,2402,0.4
2400,3723,11.54
2400,3724,15.25
2400,3725,6.37
2400,3726,12.06
2401,2400,0.09
2401,2402,0.09
2401,3723,1.24
2401,3724,1.98
2401,3725,1.48
2401,3726,1.37
2402,2400,0.36
2402,2401,0.09
2402,3723,6.31
2402,3724,21.08
2402,3725,6.88
2402,3726,5.74
3723,2400,10.78
3723,2401,1.34
3723,2402,7.24
3723,3724,126.89
3723,3725,172.91
3723,3726,5.96
3724,2400,15.78
3724,2401,2.1
3724,2402,18.31
3724,3723,69.94
3724,3726,10.68
3725,2400,6.63
3725,2401,1.51
3725,2402,7.23
3725,3723,159.19
3725,3726,79.24
3726,2400,13.27
3726,2401,1.25
3726,2402,7.34
3726,3723,18.91
3726,3724,8.89
3726,3725,66.4
o_zone_id,d_zone_id,volume
2400,2401,0.09
2400,2402,0.4
2400,3723,11.54
2400,3724,15.25
2400,3725,6.37
2400,3726,12.06
2401,2400,0.09
2401,2402,0.09
2401,3723,1.24
2401,3724,1.98
2401,3725,1.48
2401,3726,1.37
2402,2400,0.36
2402,2401,0.09
2402,3723,6.31
2402,3724,21.08
2402,3725,6.88
2402,3726,5.74
3723,2400,10.78
3723,2401,1.34
3723,2402,7.24
3723,3724,126.89
3723,3725,172.91
3723,3726,5.96
3724,2400,15.78
3724,2401,2.1
3724,2402,18.31
3724,3723,69.94
3724,3726,10.68
3725,2400,6.63
3725,2401,1.51
3725,2402,7.23
3725,3723,159.19
3725,3726,79.24
3726,2400,13.27
3726,2401,1.25
3726,2402,7.34
3726,3723,18.91
3726,3724,8.89
3726,3725,66.4
