o_zone_id,d_zone_id,volume
2400,2401,0.03
2400,2402,0.16
2400,3723,5.24
2400,3724,7.65
2400,3725,2.78
2400,3726,3.71
2401,2400,0.04
2401,2402,0.04
2401,3723,0.69
2401,3725,1.6
2401,3726,0.22
2402,2400,0.15
2402,2401,0.04
2402,3723,3.19
2402,3724,9.71
2402,3725,3.2
2402,3726,2.16
3723,2400,5.47
3723,2401,0.65
3723,2402,3.22
3723,3724,22.08
3723,3725,121.25
3723,3726,5.46
3724,2400,7.52
3724,2402,8.92
3724,3723,23.99
3724,3726,2.13
3725,2400,2.85
3725,2401,1.61
3725,2402,3.17
3725,3723,120.93
3725,3726,5.54
3726,2400,3.67
3726,2401,0.23
3726,2402,2.23
3726,3723,6.14
3726,3724,2.89
3726,3725,5.36
o_zone_id,d_zone_id,volume
2400,2401,0.03
2400,2402,0.16
2400,3723,5.24
2400,3724,7.65
2400,3725,2.78
2400,3726,3.71
2401,2400,0.04
2401,2402,0.04
2401,3723,0.69
2401,3725,1.6
2401,3726,0.22
2402,2400,0.15
2402,2401,0.04
2402,3723,3.19
2402,3724,9.71
2402,3725,3.2
2402,3726,2.16
3723,2400,5.47
3723,2401,0.65
3723,2402,3.22
3723,3724,22.08
3723,3725,121.25
3723,3726,5.46
3724,2400,7.52
3724,2402,8.92
3724,3723,23.99
3724,3726,2.13
3725,2400,2.85
3725,2401,1.61
3725,2402,3.17
3725,3723,120.93
3725,3726,5.54
3726,2400,3.67
3726,2401,0.23
3726,2402,2.23
3726,3723,6.14
3726,3724,2.89
3726,3725,5.36
o_zone_id,d_zone_id,volume
2400,2401,0.03
2400,2402,0.16
2400,3723,5.24
2400,3724,7.65
2400,3725,2.78
2400,3726,3.71
2401,2400,0.04
2401,2402,0.04
2401,3723,0.69
2401,3725,1.6
2401,3726,0.22
2402,2400,0.15
2402,2401,0.04
2402,3723,3.19
2402,3724,9.71
2402,3725,3.2
2402,3726,2.16
3723,2400,5.47
3723,2401,0.65
3723,2402,3.22
3723,3724,22.08
3723,3725,121.25
3723,3726,5.46
3724,2400,7.52
3724,2402,8.92
3724,3723,23.99
3724,3726,2.13
3725,2400,2.85
3725,2401,1.61
3725,2402,3.17
3725,3723,120.93
3725,3726,5.54
3726,2400,3.67
3726,2401,0.23
3726,2402,2.23
3726,3723,6.14
3726,3724,2.89
3726,3725,5.36
